disease,obesity,n,n,obesity,obesity,obesity,obesity,n,obesity,obesity,n,obesity,n,obesity,obesity,obesity,n,obesity,n,n,n,n,n,n,n,n,n,obesity,n,obesity,n,obesity,obesity,n,obesity,obesity,n,obesity,n,obesity,obesity,obesity,n,n,n,obesity,n,obesity,obesity,n,obesity,obesity,n,obesity,n,n,obesity,n,obesity,obesity,obesity,n,n,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,obesity,obesity,obesity,n,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,n,obesity,obesity,obesity,obesity,n,n,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,obesity,obesity,n,n,obesity,n,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,obesity,obesity,n,obesity,obesity,n,n,obesity,obesity,n,obesity,n,obesity,obesity,n,obesity,obesity,obesity,obesity,obesity,obesity,obesity,obesity,n,n,n,obesity,obesity,obesity,n,n,n,obesity,n,n,obesity,n,obesity,n,n,obesity,n,obesity,obesity,n,obesity,n,obesity,obesity,n,n,obesity,obesity,n,n,obesity,obesity,obesity,obesity,obesity,n,obesity,obesity,n,n,obesity,obesity,obesity,n,n,obesity,obesity,obesity,obesity,obesity,n,obesity,n,obesity,n,n,n,obesity,obesity,obesity,obesity,obesity,n,obesity,n,n,obesity,obesity,obesity,obesity,n,obesity,n,obesity,obesity
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus,,,0.1129,,,0.4253,,,,,,0.11431,,,,,0.116,,0.5535,,,,0.557,,0.878,,,,,,,0.91,,,,,0.2997,,0.662,,,,,,,0.2861,,,,0.297,,0.175,0.389,,,0.1821,,,0.871,0.1257,,0.3661,,,,0.2454,,,,0.65,,0.86,,,,0.667,0.5458,,,,0.242,,,0.2648,,,,,0.59,,,0.9741,,,,,,,,,0.79,0.94,0.1392,,,0.516,,,,,0.281,,0.245,,,0.1964,,,,,,,0.2522,0.128,0.427,,0.262,,,0.8969,,0.442,0.2556,0.457,,0.12496,0.12,,,,0.195,0.792,,0.185,0.6884,,0.433,,,0.1149,,0.3866,,,0.167,,,,0.198,,0.374,0.155,0.871,,,0.242,,,0.3237,0.656,,,,0.214,,,,0.1197,,0.1966,,0.443,0.48,0.121,0.189,0.23,0.993,,,,,,0.1158,0.836,,,0.39,,,,,,,,,,,,0.18,,,,,0.473,,,,,0.137,,,,,,,,,0.76,,,,,,,,,0.487,0.47,,,,0.1156,0.796,0.232,0.853,,0.157,,,,0.677,,
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis,1.14999,,,,,,,,,,,,,0.678,,,0.2186,,,0.188,,0.1379,0.28,,0.95,,,,,,,,,0.329,,,,,0.376,,,,,,,,,,0.766,,,,,,,,,,,,,0.686,,,,,,,,,,,,,0.731,0.2424,,,,,0.1954,,,,,,0.1635,0.5211,0.1154,,,,,,,,,,,,,0.211,,,,0.975,,,,0.439,,,,,,,0.231,0.1525,,,,0.437,,0.3514,0.641,,0.717,,,,,,,,0.577,,,,,,,,0.68,,0.2115,0.6176,0.1578,,,0.661,,,,,,,,,,,,0.715,,,,,,,,,,,0.257,,,,,,,,,0.42,0.51,,,,0.793,,0.2163,,,,0.259,,,,,,,,,,,,0.226,,,,,0.1554,0.649,0.871,,0.868,,,,,,,,0.996,0.59,,,,,0.153,,,0.439,,,0.1934,,,,,,,0.2847,0.589,,0.293,,,,,,,0.458,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_asparagiforme,,,,,,0.1661,0.828,,,0.1445,0.2489,,,,0.1537,,,,,,,0.95,0.148,0.325,0.1819,,,0.353,,,,,,,0.2,0.687,0.467,,0.2522,0.5263,0.3265,,,,,,,0.659,,0.24236,,,,,,0.237,,,,0.139,,0.371,,0.973,0.1119,0.216,0.2699,,,,,,0.391,,,0.3467,,0.3426,,0.27,,,0.539,,,,,,,,0.129,0.52,0.4633,,0.225,,,,0.879,0.12176,,0.13124,,,0.1274,0.59,,,,0.357,0.115,,,,0.54928,0.174,,,0.886,0.1154,0.482,0.17426,,,,0.342,0.1167,0.154,,,0.372,,,,0.134,,0.613,0.5392,,0.6438,0.266,0.325,,0.3146,,,,0.975,,,,,0.382,0.195,0.765,,0.687,0.318,0.95,,,0.4415,0.454,0.44281,0.3746,,,,0.975,,0.381,0.48387,0.185,0.28638,,,0.2626,,0.369,0.797,0.234,0.363,0.192,0.353,0.179,,,0.156,0.77,,0.749,0.248,0.27481,,0.2266,,0.167,,,,0.27328,0.71,0.2445,0.183,0.2971,,0.872,,0.286,,,,,,0.36,0.168,0.15979,,,0.84,,0.1462,0.947,0.186,,0.65,,,0.256,0.4829,,,,,0.15,,0.1371,0.397,0.66,0.8947,,0.724,,,0.56,,,0.4295,,0.2145,,0.289,0.1586
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_bolteae,0.57,0.1759,,0.11,,2.69161,0.4385,,,0.1188,1.2849,,,,,,,,0.2686,,,0.194,0.283,,,,,,,,,,,0.28,,0.3426,0.146,,,0.42,0.9216,,,,,,,0.6,,0.77289,0.678,0.57316,,,0.334,1.33615,,0.2128,0.219,0.2145,0.628,0.313,1.17161,0.7899,0.1661,,0.953,,,0.652,,,0.193,,,0.7383,0.446,,0.345,0.62,,0.6865,0.14356,,,0.114,,,,,0.593,,1.6954,,0.61,0.653,,,2.35754,0.749,,0.6845,0.63,0.1529,0.1623,,0.46396,,,0.343,0.347,,0.159,0.759,0.13658,1.28329,,,0.42,0.235,0.856,0.33519,,,0.1885,,0.5953,,,,0.53334,,,,0.155,,0.126,0.122,,0.32744,0.34282,0.9367,,0.19339,0.156,0.35,0.1524,0.49275,0.279,,,,0.99,0.674,0.48,,,0.249,,0.879,,0.228,0.474,0.13759,1.15811,,0.265,,0.43553,0.688,0.12945,0.7764,0.1977,0.1691,,0.75,0.46546,,0.46786,0.2292,0.2797,0.44,0.3695,0.75747,0.152,,,,,,0.16588,0.385,0.15558,0.399,0.17773,0.151,0.12267,,,,0.3766,0.522,0.1183,,0.47816,,,,0.452,0.348,0.468,,0.515,,0.98,,1.64756,,0.15,0.35,,0.4244,0.542,,,0.77527,,,0.274,1.231,,0.11163,,,,,0.487,,0.13821,1.29867,,0.572,,0.146,0.66,,,0.1953,,0.795,,0.756,0.8884
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_citroniae,0.826,0.23,,,,0.872,0.2793,,,0.4176,,,,,,,,,,,,,0.61,0.368,0.582,,,,,,,,,,,0.4739,0.22,,,0.451,0.638,,,,,,0.25,0.799,,0.25342,,,,,,0.391,,0.88,0.1735,0.772,0.851,0.874,0.7642,0.2268,0.1857,,0.686,,0.396,0.124,,,,0.571,,,,0.51,,0.261,,0.127,0.61,0.386,,0.22,,,,,0.23,,0.2115,,0.415,,,,0.545,0.56,,0.1331,,0.259,0.2668,,0.342,,,0.99,,,,,0.16341,0.653,,,,0.211,0.7,,,,0.23,,0.367,0.584,,0.485,0.1468,0.88,,,,,0.1137,0.132,,0.3182,0.5399,0.313,,0.1482,0.29,0.336,0.1988,0.1274,0.458,,,,,,,,0.135,0.855,,0.257,,0.3274,0.28,0.9911,0.612,,0.1462,,0.942,0.169,0.2512,0.8241,0.512,0.4878,,0.1572,0.657,,0.1425,,0.273,0.36,0.382,0.1177,0.79,,,,,,0.146,0.3976,0.453,0.24,0.753,,,,0.198,,0.5752,0.261,0.3312,,0.185,,,0.14,0.26,,0.112,,0.59,,0.297,0.79,0.5316,,,0.1632,,0.837,0.1676,0.29,,0.1258,,,0.843,0.226,,,0.13,,,,,,0.23,0.321,,0.1562,,,0.549,,0.73,0.1115,,,,0.1418,0.3671
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_clostridioforme,,,,,,,0.4858,,,,0.1569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1793,0.2374,,,,,,,,,0.13139,,,,,,,,,,,,,0.1473,0.2999,,,,,,,,,,,,0.1321,,,,,,,,,,,,,,,,,0.23,,,,,,0.16499,0.392,,0.31547,,0.342,,,,,,,,,,,0.2721,,,,,,0.285,0.88417,,,,,,0.992,,,0.15,,,,,,,,,0.2155,0.9231,,,0.16982,,,,0.2225,,,,,,,,,,,,0.541,,,,0.1744,0.715,,,,,,,1.3534,0.294,0.3245,,,0.3666,,0.6663,,,,0.613,0.15124,,,,,,,,,0.8984,0.1946,,,,,,,0.87831,0.1336,,,0.237,,,,,,,,,,,,0.58314,,,,,,0.176,,,,,,0.97,,,,,,,,,,,0.3718,,,,,,,,,,,,,0.725
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_hathewayi,0.173,0.51,0.73,0.178,0.9,0.1556,0.336,,1.68288,0.256,0.2673,,,,0.25,,,,0.1346,0.29,,0.49,,0.365,0.752,,,,,,,,,0.229,,0.238,,0.2228,0.172,0.4758,0.2433,,,,,0.72,,0.8,0.17,0.1822,0.4921,,0.2,,0.8529,0.195,,,,0.496,0.578,0.1386,0.45578,0.1957,0.1316,,0.1354,,,0.942,,,,,,,0.263,,0.339,,0.586,0.344,0.5,,,,,,,,0.296,,0.391,,,0.612,,0.1573,0.3262,0.1241,,0.77,0.6745,,0.82,,0.911,,,0.23,0.264,0.383,,,0.1798,0.144,,,0.289,0.1857,0.1545,0.2327,,,0.5578,,0.626,0.4715,,,0.467,,,,0.268,0.335,,,,0.3622,0.4653,0.2525,0.167,0.252,,,0.131,0.91,,,,,,0.686,0.793,0.567,,7.00E-01,,0.56,,0.1663,0.648,0.359,0.6396,,0.33,,0.2,0.255,0.3668,,0.1,0.1176,,0.247,0.815,0.31,0.1539,0.644,,0.237,0.751,0.7742,0.247,,,,,,,0.257,0.1236,0.2689,0.852,0.147,,,0.15,,0.3988,0.873,0.3,,0.585,,,0.2696,,0.35,0.588,,,,0.28,0.124,0.2924,,,0.869,,0.1851,0.218,0.137,,0.152,,0.746,0.492,0.168,0.284,,,0.27,,0.242,0.312,,0.5426,,,0.848,,0.12917,0.289,,,0.3923,0.437,0.1119,,0.157,0.2823
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_leptum,0.4615,0.232,0.2785,0.258,0.946,0.3482,1.179,0.894,0.2389,0.345,,0.47,0.168,0.749,0.243,0.896,0.877,0.2241,0.7184,0.5,0.459,0.3355,0.2474,0.5659,0.8979,0.66,0.3384,0.478,,,,,0.1849,0.1176,0.2416,0.248,0.2112,0.484,0.187,,0.13431,0.214,0.1751,0.651,0.1118,0.1166,0.223,0.469,0.27,0.2596,0.3286,0.1459,0.265,,,0.597,,0.1325,0.11569,,0.1648,0.4768,,0.4947,0.6532,,0.823,0.1983,,0.688,0.1177,,0.3835,0.5368,0.184,0.6523,0.2651,0.139,0.872,0.1986,0.19279,0.3511,0.4735,0.26994,,0.1622,0.185,0.1821,0.686,0.8788,0.145,0.2151,0.6316,0.689,0.25752,0.543,0.119,0.1814,0.1233,0.1182,,0.19738,0.697,0.1291,0.422,0.19594,0.4927,0.3596,0.611,0.3283,0.197,0.7412,0.56299,0.2928,0.222,0.3154,0.262,0.4832,0.1534,0.615,0.6523,0.15854,0.7718,0.187,0.6818,0.747,0.3422,0.6168,0.383,0.47,0.3157,0.1123,0.573,0.7354,0.329,0.634,0.1371,0.11989,0.2246,0.1541,0.11926,0.1234,0.9955,0.4165,0.44,0.1133,0.1783,0.2385,0.683,0.1493,,0.32,0.1352,0.1363,0.8235,0.1275,0.6826,0.5688,0.4449,0.7283,0.944,0.3459,0.6358,0.796,0.917,0.4771,0.5452,0.659,0.44,0.92793,0.129,0.2366,,0.296,0.568,0.717,0.1522,0.1129,0.392,0.115,0.448,0.1993,0.2471,0.1995,0.15978,0.1157,,0.116,0.1548,0.2822,0.4418,0.8138,0.7635,0.225,0.1915,0.338,0.16,0.4246,0.39385,0.31,0.2454,0.188,0.454,0.794,0.3315,0.2337,0.9611,0.1174,0.9832,0.2322,0.3832,0.816,0.314,0.1571,0.2661,0.1962,0.2125,,0.139,0.89,0.5735,0.39,0.1183,0.1189,0.3,0.547,0.433,0.3628,0.1534,0.72447,0.497,0.4777,0.1844,0.1215,0.428,0.176,1.7544,0.9299,0.353,,0.199,0.875,0.266,0.365,0.1171,0.22542,0.1487,0.46,0.2171,0.835,0.2466,0.944,0.33
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_methylpentosum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.979,,,,,,,0.939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2182,,,,,,,,,,,,0.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2395,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,0.2
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_nexile,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4125,,,,,,,0.42,,,,,,,,,,,,,,,0.471,,,,,,,,,,,,,,,,,,,,,,,,,,2.988,,,0.2637,,,,,,,,,,,,,,,,,,,,,,,,0.5724,,0.2147,,,,,,,,,,,,,,,,,,,,0.2267,,,,0.8961,,,0.2688,,,,,,,,,,,,,,,,,,,0.18882,,,,,,,,,,,,,,,,,,,,,0.18963,,1.43181,0.239,,,,,0.51,,,0.1365,0.2998,,,,,,,,,0.31836,,,,,,,,0.85261,,,,,,,,,,,,,,0.1257,,,,,,,,,,,,,0.7816,,,,,,,,,0.336,,,,,,,,,,,0.9656,,0.292,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_perfringens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.831,,,,,,,,,,,,,,,,,,,,0.1914,,,,,,,,,,,,,,,,,,,,,,,0.7278,,,,,,,,,0.775,,,,,,,,,,,,,,,,,,,,,,,,,0.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35412,,0.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_L2_5,,0.1776,,0.7775,1.41318,,,,,,,,0.3459,0.2334,0.48941,0.8138,,1.64399,,,,,2.7386,1.4356,,4.8573,,,3.34274,,,3.24734,,,,,,,,0.47836,,3.1421,,,,,,,,,,,1.77726,,,,2.47686,,,,,4.9421,,,,1.58224,,,,,9.77494,,6.9648,1.9491,4.88551,,,,,,4.24326,,,,,,,,1.25196,,,,,,,2.94766,0.2356,6.22624,,,0.53427,,4.5948,,,,,,2.4383,,,1.54417,,,,,,,,,,,2.13218,,5.6134,,,3.95947,,,,,,,3.68239,11.28318,,,,,,,,,0.9356,,,,,,,0.17656,,,2.29348,0.1649,,,2.2312,,,,,,,,,4.51714,,0.3126,,,,,,,,,,,,,,,3.54514,1.69437,,,,,,,,,,0.7992,,0.45791,,,,,0.27333,0.82263,,,,,,,,,,0.6473,,,0.3782,,0.62586,6.86781,0.37998,,,,,,,,,,,,5.31223,0.75741,,,,,,,7.28622,,,0.52576,,2.3251,,,,,2.64247,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_symbiosum,0.2633,0.23,,,,,,,,0.155,0.582,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3288,0.1269,0.2789,,,,,,,,,0.4571,,,,,,0.565,,,,,,,0.6491,0.222,0.5927,,,,,,,,,,,0.6435,,,,,,0.81,,,,0.14119,,,,,,,0.4152,,,,,,0.2156,0.952,,,,0.272,,,,,,,,,,,0.33297,,,,,0.379,0.185,0.3986,,,0.689,,,,,,0.253,,,,,,,0.13,,0.1216,0.6612,0.3414,,0.868,,,,,,,,,0.45,0.149,,,,,,,,,,0.15115,0.27547,,,,,,,0.4463,0.54,0.2868,,0.254,0.3187,,0.8725,,,0.529,,0.579,0.673,,,,,0.14,,0.574,0.14279,,,,,,,,0.4482,,,,,,,0.41,,,,,,,,,0.16792,0.978,,0.336,,0.916,0.342,,,0.539,,,,,,,,,,,,,,,,0.493,,,,,,,,,,0.899,0.6223
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Anaerococcus|s__Anaerococcus_vaginalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Parvimonas|s__Parvimonas_unclassified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.151,,,,,,,,,,,,,,,,0.475,,,,,,,,,,,,,,,,,,0.381,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Peptoniphilus|s__Peptoniphilus_duerdenii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Peptoniphilus|s__Peptoniphilus_lacrimalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Bacteroides_pectinophilus,,,,,,,,,,,,,3.12294,,0.62,,0.82146,,,,,,,,,0.11,,,,,,,,,,,,,1.2295,,,,,,,,,,,,0.1549,,2.15554,,0.5524,,,1.5648,,,,,,,,,,,,,,,,,,,,,,,,,,,0.948,,,,,,,,,,,,,,,,,,,,,,,0.5156,,,0.74291,,,,,,,,,,,,,,,,,,,,,,,,,,0.2384,,,,,,,,,0.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3673,,,,,,,,,,1.11615,,,,,,,,,,,,,,,,0.2499,,,,,,,,0.45341,,,0.4756,,0.91676,3.54187,,0.16,,0.39,,,,,,,,,,1.3684,,,,,,0.258,,,1.4192,3.23954,,7.49114,,0.79,,,,12.93689,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Clostridiales_bacterium_1_7_47FAA,,0.25,,,0.23,,0.1432,,,,0.94,,,,0.153,,,,,,,,,,,,,,,,,,,0.1525,,,,,,0.1759,0.985,,,0.82,,,,,,0.4779,0.132,,,,,,,,,,,,0.5173,0.165,,,0.26,,,,,,,,,,,,,,,,0.942,,,,,,,,,,0.11471,,,,,,0.678,,,,,0.139,,,0.333,,,0.191,,,,0.48,0.9255,0.123,,,0.51,,0.186,0.2844,,,0.6869,,,,,,0.287,,,,,,,,,0.687,0.5539,0.148,,0.587,0.144,,,,0.397,,,,,,,,,0.51,,,,0.1215,,0.5852,0.2337,,,,0.285,0.379,0.1366,0.3248,0.459,0.15689,,,0.145,,0.1581,,,0.14,0.176,0.7571,,,,,,,,,0.4657,,0.165,,,,0.374,,0.1497,0.194,,,0.763,,,0.33,,,0.14,,,,,,0.28416,,,,,0.1154,0.261,,,0.49,,,,0.3895,,,,,0.188,0.57,,,0.324,0.1353,,0.7,,,,,,0.283,,0.341,,,0.1568
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Clostridiales_genomosp_BVAB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Flavonifractor|s__Flavonifractor_plautii,0.5184,,0.2275,0.174,0.3,0.7749,0.22524,,0.224,0.14733,0.1748,,,0.27,0.122,,,,0.88,,0.128,0.174,0.6465,0.44,0.73,,,0.4926,,,,,,,0.217,0.1246,0.465,0.2345,,0.19,0.458,,0.76,0.19,0.141,0.7,,0.442,,0.37788,0.1281,,,,,0.14,,0.425,0.173,0.443,0.3368,0.826,0.3913,0.6527,0.566,,0.993,0.2688,,0.236,,,0.16,,,0.6485,0.57,0.132,0.71,0.24,,0.16853,0.3286,,,0.3748,,,,,0.2162,,0.1986,0.936,0.342,0.197,,,0.1975,0.1613,,0.8133,,0.316,0.3414,0.1338,0.482,,0.139,0.1261,0.384,,0.133,0.431,0.3479,0.5961,0.298,0.352,0.688,0.1762,0.398,0.2431,,0.166,0.1968,0.364,0.27,0.236,0.27,,0.114,0.194,,0.331,0.5433,0.183,,0.1575,0.1447,0.517,0.1445,0.218,0.437,0.1944,0.187,,0.39,0.7317,,0.3577,,0.59,0.169,0.773,0.428,,0.293,0.826,0.631,0.15945,0.372,0.131,0.1322,0.1886,0.5436,,0.152,,0.4145,0.565,0.2821,0.68367,,0.259,0.38,0.3359,0.2827,0.85,0.1289,0.356,,0.745,0.1351,0.14178,0.744,0.24,,0.335,0.2654,,0.735,0.14959,0.28698,0.9941,0.388,0.315,0.414,,0.686,,0.647,0.156,0.1216,,0.2954,0.26,0.732,,0.953,0.2886,0.719,,0.38,0.112,0.328,0.197,0.149,,,0.143,,0.916,0.633,0.966,0.57,0.19,,0.81,0.197,0.7227,0.674,0.426,0.24,0.112,0.184,0.41,0.45,0.225,0.3544,0.686,,0.424,,0.82,0.68,0.58,0.174,0.12,0.19,0.75,0.142,0.232,0.17657
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Pseudoflavonifractor|s__Pseudoflavonifractor_capillosus,0.212,0.35,0.1486,0.238,0.887,0.2911,0.1742,0.68,0.3277,0.8168,0.2517,,0.157,,0.4355,,0.23,0.655,0.478,0.21,0.2489,0.2383,0.696,,0.27,0.682,0.4424,0.15422,0.34,,0.354,0.1387,,0.2963,0.2128,0.492,0.1278,0.935,0.1963,0.259,0.2529,0.928,0.84,0.1399,0.2392,0.642,,,,0.5247,0.2276,0.282,0.382,,0.237,0.1715,0.578,0.2754,0.1179,,0.1238,0.2197,,,0.126,,0.3811,0.3623,0.47,0.5229,,,0.759,,0.1285,,0.1786,,0.152,0.249,0.282,0.231,0.968,,0.938,,,0.1571,,0.25,0.554,0.857,0.395,0.2679,0.424,0.3341,,0.365,0.86,,,0.1198,0.575,0.535,0.28,0.365,0.3413,,0.399,0.127,0.5274,0.99,0.1143,0.83,0.2268,0.1542,0.2273,0.2285,0.1555,0.138,0.976,0.99,0.123,0.1215,0.196,,0.137,0.3179,0.63,0.557,0.675,0.2974,,,0.3928,0.981,0.7556,0.147,0.377,0.551,0.47,0.3172,0.2313,0.2625,0.229,,0.2148,0.1793,0.61,0.7722,,0.11,0.4498,0.2995,0.2358,0.199,,0.68,0.3714,0.1165,0.1485,0.22,0.1892,0.97,0.1628,0.298,0.882,0.1215,0.123,0.528,0.5152,0.1555,0.135,0.91,0.197,0.56,0.224,0.1422,0.4136,0.522,0.576,0.6596,0.792,0.189,0.1213,0.1365,,0.1416,0.2114,,0.221,,0.1374,0.15474,0.75,0.29,0.116,0.44837,0.1182,0.2223,,0.55,0.3878,0.3825,0.236,0.2639,0.3678,0.79,,0.198,0.658,0.523,0.1133,0.1842,0.153,0.2461,0.13292,,0.12,0.58,0.151,0.496,0.378,0.652,,0.659,0.119,0.1772,0.31,0.73993,0.1541,0.2,0.441,0.146,0.55,0.2112,0.2639,0.698,0.88,,0.37,0.5962,0.17,0.1941,0.1122,0.1836,0.562,0.762,0.2796,0.65,0.3251,,0.28
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_brachy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.436,,,,,,,,,,,,,,,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,0.78,,,,,,,,,,,
