disease,n,n,n,cancer,n,cancer,n,n,n,n,n,cancer,n,n,cancer,cancer,n,cancer,cancer,n,n,n,n,cancer,n,cancer,n,cancer,n,cancer,n,n,n,n,n,n,n,n,cancer,cancer,n,cancer,n,n,n,cancer,cancer,cancer,cancer,n,n,n,n,n,n,cancer,cancer,cancer,n,n,n,cancer,n,cancer,n,n,n,cancer,cancer,cancer,n,n,cancer,n,cancer,cancer,n,cancer,cancer,cancer,n,n,n,n,cancer,n,cancer,n,cancer,n,n,n,cancer,cancer,n,cancer,n,n,n,n,cancer,n,n,n,cancer,cancer,cancer,cancer,cancer,cancer,n,cancer,n,n,n,n,n,n,n,cancer,cancer
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus,3.69669,0.98722,0.58911,0.1631,0.5996,,0.49146,,0.16,0.9885,0.3213,0.14875,0.65328,0.26189,0.26384,,,0.495,,0.6797,1.3535,0.72498,0.3798,,0.48635,0.849,0.32395,1.2666,0.34,,,0.8778,0.4653,,0.569,0.8949,0.6287,0.27279,,,0.326,0.3862,3.39922,,0.31777,0.38347,0.12883,,0.151,0.6636,0.9578,,1.3432,0.1946,0.82636,0.114,,1.7315,0.75724,0.32979,0.4217,0.78735,0.8432,,,0.6137,0.858,,0.1369,0.3761,0.77581,0.8651,0.22712,0.6924,0.9434,0.69392,0.65644,0.5342,0.61367,0.47422,0.22591,0.66276,1.2895,0.2913,,1.824,0.9251,0.1315,,0.32582,0.6396,0.12291,1.35675,0.265,0.71293,0.2828,0.13518,,,,0.34622,0.2883,0.22341,0.22671,0.5915,0.3889,,0.37336,,,0.12824,0.45839,,,0.12255,0.161,0.55674,0.24826,0.174,4.15833,0.2565
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale,5.666,0.23794,13.19875,8.196,1.9694,0.29856,0.193,0.73,14.5972,3.2577,8.11945,7.1314,12.9731,5.48147,1.22366,0.1752,23.7625,1.96572,0.3721,0.17624,0.9267,3.254,1.6551,0.9919,14.21375,1.3864,6.93194,0.71988,9.59669,0.324,4.7569,0.131,7.84787,0.48,3.2563,11.46692,13.8762,1.92956,0.14679,2.44989,13.5172,0.738,2.13953,0.7665,23.51831,0.382,0.3356,,1.75249,13.99815,0.689,0.864,3.33648,0.66378,7.78753,0.3391,3.7287,1.78238,1.56149,0.68467,6.13982,14.7115,11.2166,,0.6414,1.4299,2.549,8.37856,0.8634,3.77852,24.41613,11.6492,3.52156,13.5312,3.94858,0.23718,15.2921,9.4355,0.42548,0.3113,0.92326,7.56519,8.364,1.31798,0.2781,2.4831,11.2163,13.62973,0.4463,1.97386,0.3961,0.97973,8.73365,2.6711,,2.74326,5.6364,16.69938,0.512,0.129,0.989,5.2771,12.8254,2.86367,1.1218,6.75155,,0.61652,0.76494,0.662,1.73213,0.98,,0.41742,38.9851,0.15361,4.3899,5.47549,9.51735,0.285,0.148
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_siraeum,,0.2865,0.5338,0.8972,1.3881,2.3658,0.386,,5.46854,0.26,2.2285,2.283,1.5581,0.37313,,0.545,,,,,0.913,0.3,15.25466,0.34575,0.4997,5.1795,0.3242,0.2162,0.26617,0.9261,0.5425,0.56883,0.21868,,0.62,0.6321,1.11319,0.2824,0.23868,,0.83,,,0.1922,,1.86967,0.53583,,5.8886,,0.5513,,3.77374,0.8757,0.75633,1.2254,,2.88361,3.76113,0.42396,0.1975,0.99172,,,0.238,6.78222,1.662,0.6833,6.83779,0.19228,,0.4895,0.13845,,,0.27995,,0.754,2.13339,0.35397,0.266,1.238,1.31549,0.87924,,0.91421,0.6627,0.7714,,0.62945,0.34535,0.8572,0.1487,0.1476,0.495,0.1587,5.71593,0.4353,,0.13,1.26562,0.5153,0.87566,0.31599,3.84458,0.16883,,1.3797,1.3976,2.71695,0.7821,,,1.4356,,0.91,4.95814,,,,0.52639
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum,0.66491,2.3928,,1.3678,0.597,0.498,0.55642,,0.23489,0.21269,0.878,,0.66779,0.11881,0.1482,0.299,0.297,,,0.14254,,0.5837,1.97158,2.29488,1.27344,,1.34899,0.5895,0.31946,,,0.525,0.6788,1.53281,0.22,0.35614,0.47812,0.3521,0.695,0.394,1.3111,0.3536,1.31444,,0.2487,0.63,1.52996,,0.66,0.7344,0.31289,,0.9265,1.29975,3.45153,,,0.221,0.9156,0.1198,0.7583,0.47412,0.115,,,1.655,1.7544,,0.8346,,1.86441,1.1825,1.72967,1.7964,,0.964,1.96864,1.15624,3.5936,0.26889,0.3591,0.7732,0.3962,0.825,,5.6972,0.31776,2.19427,0.955,0.25555,0.34269,0.82943,0.38897,2.21245,3.73398,,0.81878,,1.69791,,0.34254,0.1967,0.45711,0.49554,0.27468,0.1668,,0.161,,,2.2282,0.24171,,1.72337,0.89362,0.54,0.1814,,2.62471,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus,1.72321,0.9621,0.27755,0.13737,0.2674,0.88,0.2988,0.461,0.1366,0.1324,0.8199,0.177,0.2636,0.231,,0.222,0.24614,,,0.1692,0.1872,0.762,0.1615,0.53557,0.6488,0.1638,0.1492,0.29774,0.11216,,,0.4388,,,0.3993,0.2737,0.1359,0.813,0.335,,0.764,0.3457,1.79622,0.1119,0.14151,0.5629,,,0.978,0.5785,0.6577,0.871,0.17722,0.643,0.47364,0.661,0.5441,1.635,1.85672,0.282,0.5576,1.66965,0.2674,0.2571,0.5,0.2451,0.1936,0.257,0.3561,1.6489,0.25679,0.2136,0.65286,0.6918,,3.9172,,0.4945,0.26125,0.15218,0.1919,0.836,0.42893,0.9573,,0.1465,0.743,0.1932,,0.8249,0.577,0.2778,0.8765,0.5184,0.79661,,,0.3499,0.5685,0.296,0.21285,0.5397,0.14426,0.651,0.926,,,,,0.191,0.3159,0.1438,,0.1968,0.17856,0.5211,0.5693,,1.484,0.2873,0.2662
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hydrogenotrophica,0.432,,,,,,,,,,,,0.8523,,0.51173,0.763,,,,,,,0.814,0.2234,0.632,,0.1974,,0.118,,,,,,0.27486,,,,,,,,0.138,,,,,0.1343,,,,0.1761,,0.24,,,,,0.13339,,,,,,,,,0.1932,,,0.8588,0.145,,,,0.3714,,,0.22,0.2541,,,0.1637,,,0.88,,,,,,0.113,,,0.11417,,,0.897,,,,,0.14366,,,,,,,,,,,,,0.775,,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus,0.5866,,0.3242,0.4766,0.123,0.44171,0.14398,0.88874,0.5743,0.11889,,0.75,0.64331,0.331,,,1.5631,0.28891,5.11316,,,,0.1188,0.5791,0.347,,1.38898,0.34,0.46,,2.2199,0.1431,,2.1991,1.6343,0.2548,,0.474,,0.18795,,0.693,5.5157,0.32375,0.1615,,1.3334,1.92787,,0.7551,,0.5664,0.32312,1.2149,0.6464,2.4713,0.78852,,0.1462,1.98845,0.48359,,0.17826,5.78313,1.79966,0.658,,,0.19144,,0.4373,,0.119,0.3388,0.334,0.159,12.22514,0.36,,0.1679,0.1732,,1.6472,0.13512,3.33181,,0.7428,,,,,0.2861,0.355,0.17626,0.2459,0.18836,,0.8844,1.6644,,0.173,,0.113,0.359,0.172,0.5775,,,,0.53179,,,3.65855,,0.914,,,,,3.29294,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_obeum,2.38979,0.31581,2.3355,2.4752,3.29445,0.1321,2.21928,3.63536,0.37537,0.39492,1.7418,0.6189,3.91742,0.13218,0.27112,1.131,0.1665,0.17726,,1.48668,1.17342,0.57496,0.2988,4.57898,0.62334,1.54936,5.17878,1.17895,2.9773,0.142,,0.1669,0.28265,0.352,0.9151,0.7357,0.46318,1.6584,0.531,0.873,2.11933,2.289,2.3711,0.3813,0.42572,1.1334,0.1129,0.1433,0.349,1.3886,1.182,0.75782,3.88458,2.11859,0.62822,0.3633,0.3563,0.5648,9.7319,0.3698,0.9419,2.17165,1.6731,1.78368,16.668,0.62284,0.56579,0.53573,0.8577,0.9514,0.43732,2.1854,1.8366,0.76173,0.1536,4.56783,0.396,0.96596,0.9765,0.6738,0.39882,2.22425,0.9435,1.66216,3.2345,0.5182,0.2844,0.95275,0.2187,0.897,0.595,0.33745,2.25361,0.6536,0.6934,0.54519,1.2157,0.4452,4.7893,2.6377,1.75177,0.47437,1.96616,0.3517,0.536,0.5786,1.288,1.37372,,0.6824,0.9655,0.69274,0.37948,1.226,1.39273,1.42642,2.25619,0.23356,1.5469,4.93766,1.8249
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques,0.46715,2.19951,3.98642,6.51146,1.6675,2.2923,2.1615,3.8327,2.388,0.52622,2.1473,3.44877,1.59995,1.1685,2.4949,0.6448,2.32759,0.77389,3.3117,5.72451,1.47451,0.18319,3.9121,0.28784,1.47321,1.13464,0.97559,0.49666,1.3259,0.16182,1.76339,1.4757,0.34231,1.9111,7.77742,0.64561,1.4532,0.76831,4.874,3.58488,0.78972,1.7221,4.64956,2.3969,0.71963,4.9782,6.33386,0.58168,1.5842,5.6931,0.76999,9.9926,1.44847,6.287,2.8954,0.4696,,1.2963,0.8544,12.72851,1.87941,1.991,1.19173,3.42593,16.3875,7.18474,0.8221,2.6864,2.24256,4.17253,4.2116,3.6484,5.77889,3.68641,2.22115,3.3943,0.84528,1.49175,1.74228,3.64527,1.64484,4.31782,0.22962,1.3311,14.48317,0.84815,5.218,1.29726,0.2767,1.68244,2.652,0.88791,2.62191,1.48184,3.4612,4.12557,1.29,3.15795,1.28186,0.5839,2.9614,0.36393,3.82222,0.87727,0.32864,2.16812,3.3118,5.688,0.793,6.16358,1.33752,2.76724,4.82391,0.44176,0.674,4.77334,2.34429,1.69498,1.5152,2.58,1.84875
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_crossotus,,,,0.49429,,0.6167,,0.1816,0.5327,,3.736,0.3247,0.73,,,,0.183,,,0.2418,,,,,,34.856,,0.3717,,,,0.3454,0.7344,,,32.753,1.2227,13.19674,,0.769,29.213,3.5782,,0.832,,16.5547,,,,,11.32417,,,0.716,5.32552,,,0.232,,0.199,15.1114,,,,,,21.1329,0.17858,0.496,,,,0.162,0.88,,,,0.5638,0.2781,,23.47146,,2.14916,,,,,0.289,,7.8915,0.3,0.1324,0.1,0.78285,,,,,0.121,,,36.554,,3.8623,,,,,,,2.119,,,,,,17.957,,,,0.31
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_unclassified,0.4934,,,,,,0.533,,,,,,,,,,,,,,,0.1426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169,,,,,,,,,,,,,,,,,,,,0.2234,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus,0.59292,0.18983,0.23192,0.79222,0.59729,,0.22539,0.95945,0.395,0.4467,0.47885,0.213,0.18847,0.8914,0.243,0.58964,,0.1399,,0.886,0.57926,0.55,0.13246,0.81748,0.4421,0.33319,,0.8275,0.43555,0.38,,0.21796,0.6155,,0.143,0.43884,0.61,0.66725,0.2349,,0.56915,0.43653,0.3137,0.1683,0.1885,0.165,0.25984,,0.1164,0.855,0.4433,,0.53563,0.84939,0.3582,0.677,,,0.4456,0.42941,0.41964,0.47863,,,0.29575,,0.1699,0.66533,1.33857,0.62759,0.4749,0.27492,0.9918,0.46486,0.1426,1.7326,0.13684,0.4557,0.2853,0.237,0.17851,0.347,,0.2492,0.52646,0.44254,0.549,0.55332,,0.57796,0.22459,0.25882,0.25947,0.2625,,0.36116,0.1532,0.18948,,0.4843,0.17963,0.3277,0.16699,0.23868,0.7958,0.16832,,0.28154,,,0.2996,0.13769,,0.25211,0.3144,,0.1653,0.7423,0.18581,0.3517,0.51743
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes,5.95961,1.3422,0.7966,2.74294,0.75299,,3.17615,,,1.445,1.45587,0.72988,2.46598,0.65869,0.85562,,0.16,0.24492,,1.835,0.7799,0.1252,0.24435,,0.95496,0.11413,1.23819,1.9637,0.58727,,,0.44698,0.46563,0.2774,9.3437,1.44374,1.18518,1.8588,0.3427,0.143,0.81227,0.98479,0.52856,0.7428,0.9181,1.96521,0.73717,5.22836,0.815,1.46597,0.3182,,,1.75764,1.62221,0.2272,,0.78357,1.99497,5.3676,2.4955,2.3184,1.6333,6.299,5.283,0.9556,0.51329,0.5,0.77655,1.3623,2.33738,1.29758,1.6795,0.7955,0.296,2.63,,1.46593,1.16734,0.65531,0.55867,1.14124,0.85596,1.1252,1.2959,3.948,0.27854,1.91757,0.42,1.4549,0.45623,1.484,3.2668,2.65243,3.82888,0.45393,0.89222,,1.21675,0.48515,0.62263,0.59476,1.77418,0.93759,0.38796,1.48325,,0.32557,,,2.91434,0.25663,5.4687,2.48555,,4.76384,1.57917,1.7381,1.53243,3.85695,1.5336
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_eutactus,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4274,,,,,,,,,,,,3.36884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1165,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1352,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_sp_ART55_1,,,,,0.66495,,,,,,,0.2497,,,,,,0.89339,,0.438,,,,,1.212,0.49526,,0.26931,,,,,,,0.2156,,,2.51359,1.84154,,0.47158,,,2.2874,,0.2726,,,,,,,,,17.18945,1.59859,,3.3654,,,,0.95627,,,,,,,2.97959,,,,,9.8283,,0.99111,,,,,,1.71979,,2.178,,0.98812,,5.41559,,0.25683,0.5284,4.899,,3.19817,,,2.34677,,,,,,,12.5297,,,,,,,,,,2.57355,,,11.17366,,3.19927,7.18868,3.645
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans,0.17993,0.127,1.58854,1.784,0.95522,,0.3511,1.8858,0.14628,0.4573,0.86989,0.23584,0.38,0.12266,0.18384,0.14694,,0.871,,1.18333,0.32196,1.11724,0.73855,,0.7419,0.4188,1.65825,1.39369,1.24182,,,0.14463,0.37875,1.12361,0.6471,0.4333,0.2954,0.21746,0.13347,0.35195,0.43143,0.8249,0.7928,0.17227,0.14772,0.8441,0.17682,,0.774,0.89175,0.17879,0.8755,1.88375,1.71811,1.34146,0.452,0.24941,0.32248,4.61319,0.7314,1.5454,1.34177,1.24783,,5.27229,2.174,0.328,,0.798,0.175,0.87948,0.94629,0.64634,1.41319,0.4835,3.25276,0.1978,1.53783,1.28455,1.13638,0.39326,0.97284,,0.2645,2.6641,0.6998,0.8897,0.61226,0.327,0.99842,4.19222,0.72165,0.86471,1.63951,1.25296,0.478,0.4116,0.59695,0.55798,0.699,0.73255,0.17366,1.23625,0.22777,0.7917,1.44,,0.5348,,0.2285,0.77622,0.2413,,0.74193,0.73337,0.7359,0.6861,0.58417,1.2675,,0.48213
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena,0.45556,0.8968,2.24324,2.14293,1.7685,0.15112,0.3287,,0.74358,1.31329,1.5222,0.22293,3.86245,0.2681,0.26845,1.8464,0.387,0.12875,,3.45616,0.9455,0.52855,0.16993,0.25297,4.265,0.58389,8.4467,7.56341,3.392,,,0.49424,0.4563,1.59344,0.26566,3.52593,1.23287,2.5394,0.57141,0.19622,1.52162,0.35344,0.3526,0.51291,0.9932,0.23473,0.19697,,0.51387,0.42551,0.28733,0.3287,0.56531,1.4329,1.64353,0.3259,0.1755,1.7465,4.7325,5.49925,2.5273,1.21273,0.6611,,0.98559,2.1966,0.4134,0.877,3.4891,3.26172,3.45118,3.418,0.3975,0.71497,0.193,3.19467,0.6775,4.56476,1.9776,0.7234,0.4766,2.39495,0.99592,0.24118,3.83678,5.76956,0.38775,2.95418,0.3673,2.44634,2.93536,1.48328,6.25644,3.4648,,0.41958,1.9664,2.27168,,0.1351,0.4685,0.28983,5.5392,0.51591,0.131,2.46655,,0.82891,0.165,,3.64185,0.19557,,2.254,1.4363,0.1332,1.58818,0.3259,0.41122,7.476,2.12554
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_unclassified,,0.12582,,,,0.147,,,,,,,,,,,0.1688,,,,,,,0.6198,,,,,,,,,,,,,,,,,,,0.4687,,,,,0.6193,,,,0.19277,,,,,,,,,,,,0.371,,,,0.1139,,,,,,,,,,,,,,,,,,,,,0.6515,,,,,,,,,,,,,,,,,,,,,0.2172,,,0.17689,2.7338,4.352,,,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_1_57FAA,0.932,,0.1982,0.35463,0.969,0.57447,0.23952,,1.52241,0.3764,29.47147,,0.32893,,,1.43538,1.71243,0.13126,,,0.7117,,,0.1863,0.32796,0.7484,0.89483,,0.15781,,,,,,2.89843,0.54751,0.7216,0.3212,0.3889,,,0.2889,0.94427,,0.6282,,0.47797,0.877,0.77192,,3.19624,0.21186,1.8216,,,,,,0.8483,0.7625,0.9236,,0.458,,,0.52196,,,0.27169,,1.5332,0.18526,0.1319,0.43335,0.34338,1.27,,0.3737,0.5457,0.1354,0.85769,1.83134,0.1768,,,1.7127,0.265,2.55351,,1.35453,0.1758,0.8286,0.6389,,2.914,,,1.8123,2.21739,2.4379,17.2544,0.2563,2.1949,0.2465,,,,,0.841,,,0.6355,,,,,1.6175,,0.13846,,0.887
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_4_56FAA,,0.26,0.1155,,,,0.3126,0.2754,,,,,0.1278,,,,0.312,0.1473,,,0.2782,,0.53,,,,0.19253,,,,0.2296,,,0.822,0.29844,,,,,0.72,,,,,0.614,,,,,,,2.33821,0.9712,0.1168,,,,,,0.6437,,,0.2124,,0.4633,0.2262,,0.7175,,,0.194,,,,,,,,,0.696,0.115,0.451,,,,0.175,0.14,,,,,,0.374,0.566,0.835,,,0.67,0.2177,,,,,0.427,,,,,,,,0.117,0.161,,0.4553,,,,,4.4362,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_2_1_58FAA,0.2689,,0.15791,0.4623,0.1361,0.6221,0.231,0.1877,0.11476,,0.7929,,0.1624,0.1756,,0.275,,,6.16537,,0.3348,,,,,,0.13517,,0.36843,,0.2871,0.581,,,0.37768,0.167,0.611,0.1123,,,,0.15,1.13389,0.6365,,,,,,0.244,,0.16213,0.6549,0.76,,,,,,,,,0.2529,3.4138,2.61624,0.99,,,0.91,,0.5733,0.2258,0.276,0.26223,,0.28633,0.264,,,0.1897,,0.1446,0.59516,,1.83777,0.1114,0.1124,0.18351,,,0.528,0.144,0.2753,0.417,0.5,0.18149,,0.19333,0.278,,0.844,,,,,0.9218,,0.944,,0.9638,0.132,,,,0.262,,0.8831,,,0.9186,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_46FAA,0.1279,0.3322,0.2215,0.1568,0.374,,0.629,0.487,,0.8466,0.683,0.3332,0.979,0.6194,0.1556,0.4144,,0.6643,,0.54837,0.5,0.53598,0.33379,0.17321,0.5775,0.1271,0.93578,0.5217,0.111,,,0.56351,,0.644,,1.9478,0.124,0.27283,0.46616,0.17375,0.11466,1.3135,,0.17,0.1596,0.22873,0.7214,,,0.45253,0.11762,0.91864,0.19586,0.51965,0.28191,,,0.4685,,0.1815,0.77278,0.6218,,0.1952,0.1625,0.153,0.711,0.196,0.365,,0.164,0.3916,0.5853,0.23329,0.1771,0.4812,0.3225,0.2689,0.7394,0.18819,0.27636,0.15737,0.3366,0.144,0.2658,0.38,0.59994,0.15285,,0.1598,0.2211,0.548,0.12,0.4233,0.53,0.79131,0.2964,0.1167,,0.157,0.16396,,0.545,0.8378,0.3751,0.11781,0.11962,0.8676,,,0.1816,,0.341,,,,0.6197,,,0.7654,0.3358
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_57FAA_CT1,0.711,,0.36,,0.253,0.1216,0.767,0.745,,0.3411,,0.3945,0.452,,,,0.3753,,,,0.11228,,0.824,0.5327,,,,0.418,,0.1399,0.253,0.11133,,,7.00E-01,,,,0.14418,0.172,,0.861,0.493,0.2581,0.11,0.462,,0.4188,0.284,,0.2262,1.51454,0.512,,,0.992,,,0.7397,0.717,,,,0.12827,0.2411,0.118,,0.2845,0.1447,0.884,0.6178,,0.5522,,2.39412,0.354,0.6,,0.91,0.1518,,0.225,9.00E-01,,,0.216,0.197,0.14,,,0.491,0.145,,,,,0.7278,0.1341,,0.5342,0.156,,,0.373,,,0.1363,0.1916,0.948,0.462,,0.739,0.269,,,,0.192,,,0.3119,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_4_1_37FAA,0.122,,,,,,,,,,,,,,,,,,,,,,,,,,0.432,,,,,,,,0.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA,1.25889,0.174,0.1326,0.1719,0.6636,0.271,0.389,0.7527,0.183,0.647,0.172,,0.28866,0.2794,,0.8425,0.59424,0.1675,,0.48417,0.2785,0.2238,0.2771,0.19531,0.3748,0.2119,0.15748,0.37878,0.2218,,,0.275,0.436,0.742,0.465,0.4353,0.663,0.2291,0.1698,0.161,0.67735,0.4115,6.461,0.495,0.169,0.5235,0.237,,0.138,1.96589,0.117,2.81857,0.44211,0.4165,0.9896,0.943,0.4647,0.887,0.246,0.1788,0.6626,0.34151,0.2722,0.3699,0.9419,0.35,0.3896,0.61449,0.892,1.6559,0.1548,0.1228,0.1694,0.22214,0.436,0.26847,0.6859,0.1728,0.313,0.34898,0.273,0.59747,0.35595,0.1867,,0.1912,0.286,0.89,,0.3369,0.349,0.74967,0.972,0.1916,0.57536,0.174,,0.4221,0.12934,0.1177,0.7488,0.3642,0.4239,0.3344,0.785,0.48,,0.89,,0.1372,0.8229,0.3273,,0.2439,0.1264,0.1815,0.2893,,0.5568,0.16923,0.13585
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_7_1_58FAA,0.183,,0.597,,0.1187,0.156,0.1979,0.1594,0.7,0.382,0.157,0.6921,0.4188,0.4836,,0.8517,0.438,0.617,0.21,,0.348,0.348,0.915,0.1319,0.72,0.1393,0.1988,0.715,0.12,0.774,,0.15774,,0.644,0.619,0.1559,0.298,0.239,0.1474,0.366,0.58,0.121,0.377,0.83,0.1797,0.1137,0.166,0.4942,0.1274,,0.555,0.2853,0.662,0.1385,,0.15755,,0.2116,0.8544,0.15425,0.366,0.227,,0.8146,,0.3495,,0.671,,0.24,0.1956,0.1651,0.718,,,0.1235,0.437,0.1112,0.32534,0.22,0.9775,0.119,0.3852,0.137,0.1634,0.1159,0.6216,0.1548,0.687,0.218,0.8562,0.1429,0.4392,0.2481,0.59,0.6693,0.214,0.2927,0.95,0.1267,0.427,,,0.5691,0.212,0.618,,0.4949,0.6251,0.7144,0.655,0.3797,,,,0.666,0.1976,,,0.224,0.24
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_8_1_57FAA,0.5129,,,,,,,,,,,,,,,,,,,,,0.5728,,1.1938,,,,,,,0.986,,1.532,,,,,,,,,0.1838,,,,,,0.157,,,,,,,,,,,0.45651,,,,0.9982,,,,,,,,,,,,,,,0.26339,,,,,,,,0.453,,,,,,,,,,,0.26167,,,,,,,0.368,,,,,0.5781,,,,,,,0.7292,,,2.6678,0.276,0.212
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_9_1_43BFAA,,,,,,,,,,,,,,,,,,0.638,,,,,,,,,,,,,,,,,0.162,,,,,,,0.37,,,,,,0.14936,,,,,,,,,,,0.517,0.7826,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,0.1,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis,1.18658,,0.67866,0.2147,0.65913,0.2628,2.1651,,0.5481,0.24645,0.11267,0.3342,0.4737,0.2729,,0.5591,0.5682,,,3.78395,0.3933,1.6468,0.4681,0.87,0.13683,0.34166,0.1693,8.2571,0.31883,,,0.38659,0.5196,,0.713,0.1474,0.931,1.37352,0.138,0.991,0.979,0.642,,0.1659,0.19784,0.7559,0.3765,,0.54451,0.72,0.45,,0.29874,0.6828,,,,0.9514,0.44284,0.15472,0.1361,0.2196,,0.31766,,0.11317,0.1764,0.144,0.1772,,0.5383,0.9368,0.733,0.7842,0.86993,0.973,0.1335,0.737,0.73659,0.3946,0.752,0.7823,0.48579,0.787,1.24835,0.2131,0.2912,0.349,,0.1794,0.16256,0.4336,0.552,0.5978,0.169,0.4791,0.62943,0.4669,,,0.4213,0.5957,0.1475,0.16234,0.2753,0.383,,0.8547,,,0.1421,0.5955,0.1892,,,0.63634,0.888,0.1274,0.572,,0.1163
