disease,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques,1.64423,0.5867,0.2688,0.82227,2.32975,4.746,3.27551,0.12844,0.16177,2.22328,0.21658,1.6693,0.8967,0.2611,1.14376,1.3649,1.86751,0.864,0.3412,0.74761,1.98393,0.4837,6.7468,0.6369,0.1474,2.48152,0.54435,1.55454,0.27152,0.27724,0.2923,0.68424,0.7428,0.5695,2.54619,0.7747,0.1855,1.4735,1.56431,1.47412,0.2187,5.22137,0.9817,0.4452,0.496,0.25171,0.528,1.3954,2.35122,0.67741,1.3649,1.17532,0.38854,1.292,0.43394,0.5546,0.34686,0.17649,1.91496,0.98745,2.33985,0.98732,0.51914,2.65134,0.8711,1.5253,0.5726,0.41876,0.91279,1.83551,1.16489,0.63444,0.2834,0.6587,0.44274,0.149,0.1942,0.9115,0.37175,0.2439,1.41289,1.27153,1.13239,0.74661,4.17652,2.8152,1.76317,0.99425,1.39924,0.3455,0.8832,0.415,2.1473,1.93784,0.682,0.53987,1.29442,6.25894,6.69741,0.99475,0.8879,0.33234,0.63143,0.564,0.14871,2.6638,3.89722,0.7141,0.8125,0.97182,0.58187,0.13797,3.35848,0.93755,2.1961,0.9585,3.22362,1.33366,3.437,2.69463,1.89747,1.38947,1.1663,0.86545,0.889,6.9267,0.43523,0.4964,1.4433,0.28644,0.234,1.32533,0.8885,1.526,0.16647,1.52294,0.59628,0.81824,0.39786,1.15545,0.93697,1.44596,1.14145,0.499,0.47837,0.6681,4.6245,0.32685,2.68821,0.1698,5.34369,0.1484,0.8216,0.5954,0.51423,1.576,0.4159,0.33122,0.3762,2.7654,0.59934,0.7633,0.16728,3.75321,0.954,0.6319,0.39454,1.86769,1.56458,1.49845,1.45899,1.2597,0.65572,0.52388
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_crossotus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_unclassified,,,,,0.2521,,,,,,,,,,,,,,,,,,,,,,,0.592,,,,0.579,,,,,,,0.636,,0.688,,,,,,,,,,,,,,,,,,,,,,0.699,,,0.3491,,,,,,,,,,,,,,,,0.688,,,,,,,,,,,,,,,,,,,,,0.159,,,0.2543,,,0.169,,,,0.4751,0.483,,,,,,0.1482,,,,0.1143,,0.832,,,,,0.156,,,,,,,,0.2894,0.2327,0.497,0.1348,,,,0.59,,,,,,,0.3785,0.595,0.1521,0.2437,,0.1512,,,,,,0.811,0.389,,,0.4122,0.2561,0.22,0.228,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus,0.19424,0.5795,0.4794,,0.13212,,,,,0.4283,0.1267,0.691,,0.681,0.3367,,0.27217,0.33,,0.4297,,0.835,,0.5165,0.81,0.8331,,0.4455,0.4361,0.248,0.4662,0.129,0.1669,0.2597,0.22955,,0.5779,,,0.2455,0.1621,,,0.394,,,,,0.1296,0.6839,,,,0.6765,,0.363,,0.1215,0.2885,0.1439,0.4693,,0.5872,,,0.23547,0.2844,0.58,0.119,0.28266,,0.653,0.9269,0.17715,0.9168,,,0.3994,,0.3134,0.495,0.23578,,0.3712,,0.315,0.25966,,,0.185,0.8838,,0.993,0.15917,0.6147,0.57,,0.5432,,0.22178,,0.19759,0.988,,,0.22518,0.4676,,,0.61,0.32387,0.1919,0.516,0.329,,0.169,0.5326,,,,0.4768,,0.646,0.2538,0.136,0.16531,0.213,0.1843,,0.952,0.78,0.213,0.295,0.6685,,,,,0.2478,0.164,0.89,0.3155,0.3718,0.36,,0.122,,,,0.1346,0.2562,0.319,,,0.551,0.415,,0.7346,,,,0.548,0.726,0.1937,,0.1563,0.2359,0.1258,0.9665,0.2488,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes,0.35211,0.371,0.16727,,0.27493,,0.662,,0.37154,,0.3976,,,0.124,0.6341,,,0.26651,,0.14495,0.24124,0.57586,0.59858,0.62944,0.8372,0.37278,1.4416,,0.15962,0.3238,0.3837,0.36317,0.2596,0.6679,0.2398,,2.47932,0.22191,0.1781,0.73573,0.299,,0.4887,0.26992,,0.4599,,,0.12569,0.11564,0.32668,,0.47431,0.2783,0.3979,0.6872,,0.11114,0.17516,,0.87689,,0.41417,0.1882,0.44919,,0.3196,0.1743,1.243,0.2618,1.3421,0.59734,0.21228,,0.5138,,0.78331,0.21697,0.1445,0.14171,0.9384,0.47319,0.496,0.11531,,,1.7343,,0.1265,0.1647,0.29973,,0.5825,1.39923,0.4266,0.45942,0.8839,0.2647,,0.77117,,0.12256,0.1464,,,0.449,0.19463,,0.211,0.47331,0.8872,0.2995,0.23,,,0.32695,1.63778,0.86457,2.9813,,,0.83964,0.43468,1.16955,1.695,0.9436,0.5413,,1.29638,0.6993,0.6387,0.2939,,0.3955,,,0.1369,,0.3365,0.17734,0.61381,0.2891,,0.111,,0.24564,,,0.14787,0.5614,0.12513,0.243,,,0.1615,0.36224,,0.2191,,,0.5827,0.41718,,0.4353,,0.7229,0.16411,0.42642,0.19271,0.62489,0.38864,,1.543,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_eutactus,,,0.39676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,2.813,,,,,,,,,,,,,,,,,,,,,,,0.12692,,,,,,,,,,0.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_sp_ART55_1,,,,,,,,,,,2.22855,,,3.22159,,,,,,0.16575,,,,,,,,,,,0.48973,,,,,,,,,,,,,,,,,,5.27923,6.46852,3.49558,,,,,,,2.85834,,,,,,,,,8.9199,,,,,,,,,,,,,,0.34852,,,,,,,,,,,,,,,,,,,1.11851,,,,,,2.9257,,,,,,,3.5631,,,,,0.58995,,,,,,,,0.32786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7865,,,,,,,3.14961,,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans,0.5132,0.21771,0.6114,0.2855,0.569,0.78448,,,0.86844,0.2898,0.4638,0.23313,0.653,0.1491,0.49653,,0.78214,0.15589,0.34324,0.11261,0.18949,0.1834,,0.5396,0.348,0.86261,0.28984,0.22794,0.6555,0.525,0.3992,,0.1185,0.17311,0.8765,0.4196,0.3562,,0.291,0.24286,0.453,,0.7522,0.925,,0.23925,,2.2218,0.29833,0.1778,0.4153,0.58862,0.1626,0.19337,0.8665,0.6311,,0.6148,0.1121,0.48731,0.15292,,0.46141,0.37372,0.11539,2.7179,0.4939,0.1248,0.643,0.22741,0.4761,0.9421,0.26685,,0.24892,0.143,,0.22863,0.13598,0.2124,0.12532,0.1833,0.5876,0.7731,,0.14244,1.13955,,0.9926,0.11968,0.326,0.6462,0.8452,0.61327,0.13732,0.6891,0.21391,1.2924,0.73317,0.79378,,0.268,0.9172,0.152,0.14352,0.62661,0.19547,,,0.1444,0.1427,0.2964,0.15879,0.7823,0.422,0.19332,,0.1377,0.7717,0.1418,,,0.25385,0.4596,0.56422,1.52726,0.294,0.1292,0.11313,0.3996,0.2928,0.858,0.4361,1.357,,,0.1476,0.17495,0.3139,0.17248,0.11278,0.6377,0.899,0.7616,,0.1627,0.2318,0.1614,0.1525,0.427,,0.7468,0.1884,0.1497,0.13933,0.9112,,0.589,0.7821,0.21356,,0.5251,0.23388,0.32782,,0.1581,,0.663,0.26528,0.32691,0.335,,,0.1774
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena,0.19246,0.9745,0.391,0.2966,0.43372,0.11149,,,0.18219,0.16521,0.24761,,0.23982,0.8139,0.4152,0.18898,0.45372,0.14611,,0.554,0.74877,0.11471,0.7334,0.11769,0.911,0.4827,1.58544,0.27199,0.1543,0.3628,0.348,,0.5399,0.4679,0.26315,,0.85858,0.4849,0.3361,0.1657,0.15445,,0.6988,0.4787,,0.7971,,,0.2965,0.5692,0.12,,0.4676,0.5425,0.1829,0.211,,0.1413,0.2554,0.5966,0.6821,3.56136,0.13823,0.1286,0.5455,1.9239,0.6154,0.4244,0.232,0.4222,0.3675,0.1212,0.24664,0.1226,0.597,,0.839,0.568,0.481,0.17849,0.1991,0.24633,0.4171,0.961,,0.5664,0.24488,0.7237,0.1988,0.3183,0.6627,0.2845,0.274,0.15132,,0.5356,0.13755,1.7841,0.59167,0.61396,,0.2369,0.167,0.1231,,0.19872,0.1714,0.7266,0.22359,0.9953,0.3723,0.2161,0.1679,0.44719,0.985,0.8861,0.25796,0.25334,0.594,0.7633,0.13393,0.242,1.68,,0.25862,2.1967,0.615,0.7617,0.35754,0.6454,0.22172,0.28139,0.4267,0.2779,,0.51468,0.15777,0.23928,0.4682,0.3587,0.7979,0.6641,0.1197,0.6928,0.922,0.21549,0.3636,0.6774,0.28934,0.8483,0.573,0.3881,0.22753,,0.25138,0.6199,0.1648,0.76291,0.527,,,0.2479,,0.13452,,0.2175,0.95,0.42941,0.77895,0.15627,0.25936,0.597,0.55691,0.38334
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_unclassified,0.236,,,,,,0.2477,,,,0.27,,,,,0.19274,,,,,,,0.8644,,,,,,,0.7577,,0.213,,,,,,0.1651,,,,,,,0.144,,,,,,0.6532,,,,,,,0.2146,,,,,,,0.763,,,,,,,,,,,,,,,,,,0.5712,,0.93362,,,0.6355,,,,,,,,,,,,,0.184,,0.922,0.1385,,,,0.11696,,0.16176,,,,0.27995,,,0.8962,,,,,0.696,,,,,0.9638,0.694,,0.19856,,,0.265,,0.1312,0.25363,,0.1172,0.62,,,,,,,0.13479,0.463,0.2514,,,0.721,0.4998,3.746,,,,0.12793,,,,,,0.2893,,0.4224,,0.734,0.2912,,,,0.856,,0.2415
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_1_57FAA,2.55867,0.7541,0.55355,,1.13364,0.695,0.5928,,,0.21755,,3.46847,0.1415,0.29132,,0.9184,1.6599,0.1231,,0.3171,0.8473,0.42172,0.17585,6.3447,0.59,0.88896,0.62835,0.1731,0.3267,0.4192,0.28894,0.2831,0.38593,0.84,0.26796,,,1.36217,0.86519,0.83343,0.74187,0.6637,0.271,0.3397,0.582,0.68,,,0.8215,1.256,0.5214,,0.5456,0.4994,0.368,0.46987,,0.668,0.6112,0.73274,1.45123,0.864,5.2221,,0.9696,0.3291,0.4365,0.3867,,0.12525,,0.21522,0.36884,0.3786,0.2531,,,0.7842,0.7356,0.15688,0.3316,0.3743,,,,0.777,0.45793,0.71979,0.663,0.23328,1.46581,1.49799,1.5696,2.5958,4.9514,0.3941,0.6247,0.471,0.6539,0.224,,0.25,,,,0.8695,0.6754,,0.27812,0.52446,0.4165,,0.85446,0.2924,1.17333,5.93764,0.38121,0.831,,0.53322,,0.14729,,0.6532,1.2546,1.73136,1.39951,,,,0.696,0.94955,0.926,0.4973,,0.91553,1.5173,3.77798,1.22467,1.2145,4.67227,3.43352,0.4841,0.66364,0.114,2.53832,,0.4858,8.7865,0.654,0.31722,0.1439,0.57381,,0.5832,0.55245,0.24,0.1254,,,,4.25662,0.1312,3.594,,0.866,0.8675,2.49155,5.85,0.3257,0.27351,,0.76577,0.3384
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_4_56FAA,,,,0.1351,,0.2145,0.626,0.45978,0.8327,,,,0.372,,0.1492,0.2488,0.448,,0.4819,0.11,0.1929,,0.11373,,,,0.873,,,,,,,0.38,,0.279,,0.166,,0.169,,0.25358,,,0.992,0.178,,0.44449,0.1735,,0.167,0.34914,0.1318,,,,,,,,,,,0.2526,,0.516,,,,,,0.37,,,,,,0.15,0.217,0.1339,,0.3149,,,,0.1963,0.3485,,0.1244,,,,0.1273,,,,,,0.7178,,,,,,,,0.9949,,,,,,,0.3721,0.399,,0.33918,,0.11299,0.131,0.1275,0.257,,,,0.484,,,0.226,,,,,,0.281,,,,,,,,0.1847,,,,0.465,0.277,0.622,,,,0.17993,0.32815,,,,,0.4541,,,,,,,,,,0.15893,0.31,0.1751,0.4268,0.138,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_2_1_58FAA,,0.43,,,0.19,0.747,0.58444,0.1471,0.47652,0.31182,,,0.3268,0.13533,,2.63629,0.1313,0.18155,,,0.2472,,0.1127,,,0.76243,0.565,0.1431,,,,0.258,0.556,,0.836,0.733,,,,0.674,0.4398,1.71435,0.1655,,,,,,0.262,0.3949,,,,0.23435,,0.1618,0.92559,,,0.1972,,1.4522,,0.5224,,4.4462,,,,,0.45123,0.296,,,,0.68,,,,0.271,,0.2487,0.154,,,,0.29231,,0.7942,,,0.3652,0.11945,0.113,,0.1255,0.2528,,,,0.163,,,0.3249,0.972,,0.64281,,0.983,0.47,,0.421,,0.3528,0.59384,0.69,0.96441,0.298,0.68,,,0.384,0.621,0.3865,0.9948,0.186,0.2525,0.7876,,,0.387,,,,0.421,0.3419,,0.2141,,,,0.3657,0.1,0.622,0.596,,,,0.3824,0.3149,,,0.1771,0.52736,,0.116,,,0.3538,0.5568,0.675,0.335,0.77,,0.4536,,0.7231,,,,,,2.77258,0.31172
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_46FAA,0.4174,,0.3613,,0.228,0.5116,0.27593,,,,0.3197,0.1175,0.271,0.38,,,0.7917,0.65223,,0.62,,,0.4967,0.2,0.55,,0.79,,0.567,0.5363,0.294,,0.4292,,0.165,,,0.385,0.1424,0.2333,0.646,0.32429,,,,,,0.3685,,0.7637,0.462,0.632,0.175,,0.38,0.584,,,0.6589,0.968,0.1665,0.26589,0.421,0.12221,,,,0.3597,0.1333,,0.1156,0.778,0.569,0.874,,,,0.446,,0.46483,,0.359,0.7111,,0.287,0.857,0.223,,0.7449,0.2828,0.7524,,0.22994,0.7563,0.3315,,,,0.35261,,,,0.119,,,,0.14458,0.66,0.2821,0.8675,2.25276,,0.618,,0.83,0.635,0.18914,0.2395,,0.12548,0.2948,,0.59,,,,0.314,,,0.271,,0.575,,,0.7615,0.962,,,0.1887,0.22972,1.1271,0.279,0.1415,,,,0.15813,0.1972,0.244,,0.589,,,0.416,,0.3339,0.968,0.397,,,,,0.1564,0.31822,,0.2745,,0.844,,0.2333,,,0.1813,0.5212
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_57FAA_CT1,0.1558,0.23,,,0.5123,,0.1435,,,,,,,,,,,0.449,,,,,0.8,,,,,,,,,,0.749,,,0.3756,,,,0.574,0.287,,,,,,,0.1621,0.3419,0.635,,0.346,0.99,0.28,0.115,0.133,,,,,,,,,,,,,,0.823,,0.1116,,,,,,,,0.4783,0.344,,0.1643,,,0.165,,,,,,,0.1769,0.2297,0.442,,,,,,0.1853,,,,,,,,0.346,,,,0.49,,,,0.1392,,,0.3273,,0.453,,,,,,,,,,,,,,,,,,,,,,,,0.157,0.2389,,,,,,0.11157,0.515,,,0.569,,,,,,0.1592,,,,0.2357,0.29,0.81,,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_4_1_37FAA,,,,,,,,0.678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.265,,,,,,,,,,,,,,,,0.512,,,,0.1491,,,,,,,,0.116,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.292,,,,,,,,,,,,,,,,,,,,,,0.568,,0.186,,,,,,,,,,,,,,,,,,,,,,0.197,0.777,,,,0.67,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA,0.5267,0.5576,0.157,0.716,0.3275,0.7447,,0.1235,0.26177,5.44777,0.4554,,0.1443,0.614,0.8755,3.5656,0.29339,0.14,,0.791,0.25235,0.3251,0.11719,0.442,,0.365,0.2919,0.18971,0.583,0.88,0.594,0.56,0.2644,0.1282,0.24642,0.7156,0.65288,0.6571,,0.3887,0.2582,,,0.25382,0.66,0.426,,0.291,0.787,0.546,,,0.983,0.9675,0.13144,0.696,0.37495,0.168,0.657,0.139,0.2615,0.41959,0.382,0.272,0.436,0.19375,0.171,0.9319,,0.251,0.1629,0.6499,0.6385,0.145,0.6137,0.83,0.34735,0.1912,0.123,0.213,0.861,0.1978,0.122,2.8576,0.19139,0.979,0.2347,0.19244,0.9189,0.88,0.3748,0.2266,0.155,0.44236,0.692,0.8644,0.19692,0.4798,0.7988,0.753,0.659,0.61321,0.13475,0.856,0.7775,0.15484,0.2625,0.12299,0.1771,0.631,0.5656,,0.1359,0.85726,0.29635,0.316,0.148,0.353,0.5812,0.2997,0.1141,0.4555,0.4981,0.2457,0.21128,0.3937,0.158,0.2415,0.3497,0.671,0.5178,0.325,0.1961,0.3295,1.2244,1.15399,0.5879,0.16375,0.3741,0.6635,0.3658,0.268,0.1645,0.5988,,,,0.27823,0.14295,0.719,0.1487,,0.9763,0.1166,0.92,0.2539,0.3478,0.1773,,0.38162,0.1732,0.2896,0.515,0.7789,,0.8871,0.735,0.4852,0.3219,0.6228,0.8628,0.31194,0.245,0.44331
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_7_1_58FAA,0.3375,0.5494,,0.4666,0.1418,0.6814,0.6186,,,0.362,,,,,,,,0.252,,0.296,0.5255,0.487,0.8877,0.531,,0.257,,,0.1315,0.1589,0.353,0.165,0.228,,0.127,0.213,0.621,0.62,0.547,0.49,0.95,0.181,,,0.489,0.1172,,0.3333,0.1945,0.1924,0.558,0.469,0.97,0.2838,0.33,,0.3632,,,,,0.2414,0.18,2.4314,0.1537,,,0.368,,0.628,,0.11,0.135,,0.28,,,0.14958,0.2,0.1132,0.543,0.295,0.749,,0.1167,0.124,,0.25,0.771,,0.2196,,0.83,0.3121,0.3964,0.2,,,,,0.7294,0.134,,0.6422,,,0.848,0.546,0.211,0.41,,,0.2931,,,0.1361,0.11584,,0.3943,0.67,0.932,0.4543,,0.122,,,0.446,0.1715,0.5464,0.59,,0.97,,,,0.52,0.16634,,,0.5661,0.6329,0.879,0.274,,,,0.2479,0.511,0.377,,0.99,,0.1782,0.727,0.514,0.228,0.7629,,0.1698,0.614,0.734,0.249,,0.1783,,,,,0.11,0.29,0.49,,,0.2948
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_8_1_57FAA,,,,,,,,,0.5257,,,,,,0.5637,,,,,,,0.853,,,,,0.42851,,0.378,0.3928,,,,0.4872,,,,,,,,,,0.595,0.2321,0.3722,,0.3488,,,,,,0.1547,,0.5981,1.6821,0.46681,,,,0.89232,,,0.1234,0.73229,,,1.62595,,,,0.57126,,,,0.649,,0.57591,0.1298,,,,0.2116,,,,,,,,,,,0.15135,0.211,,0.12339,,0.2343,,0.28254,0.8259,,0.7224,,,,,,0.1534,,,0.8155,,,,,,,,,0.7426,0.981,,2.2493,,,,0.24976,0.23469,,,,0.8274,,2.2943,,,,,,,,,2.795,,,,0.5499,,,,,,,,0.56,,,0.14689,,0.8127,,,0.8118,,,,,,0.487,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_9_1_43BFAA,,,,0.497,,,0.45,0.7279,0.1622,0.246,,,0.431,,,0.376,,,,,,,0.186,,,,,,,,,,,,,0.493,,,,,,,,,,0.327,,0.989,0.115,,,,,,,,0.15,,,,,0.3482,,0.162,,0.243,,,,,0.624,,,0.352,,,,,,,,,,,0.761,,0.1115,0.169,0.51,,,,,,,,,,0.14,,0.1335,,,,,,,0.97,,,,,,0.11265,,,,,0.37,0.38,,,,,,,,0.189,,,,,,,,0.14995,,,,,,,0.11,,0.263,,0.457,,0.117,,,,,0.166,,,0.146,,0.335,0.45,0.84,,,,0.3358,,,,,,,0.438,,0.1464
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis,0.528,0.84183,0.1187,0.16374,0.31692,2.352,0.141,,0.19977,0.57682,1.26735,,,0.236,,,0.33338,0.424,,0.1113,0.75829,0.16222,,0.16917,0.346,0.2511,,,,4.371,2.959,0.36557,0.41758,0.1877,0.5917,,0.17327,0.842,0.5434,0.6253,0.682,,,4.9942,,0.15518,,0.26196,0.24623,0.7765,0.3961,,0.78335,,0.318,0.233,0.66338,0.2555,0.8818,0.17565,,,0.2888,0.25432,0.9178,,3.71948,1.937,1.1,0.2188,,0.971,0.9821,,0.14862,,,1.17777,0.5641,0.1341,1.7782,0.6384,,,,0.1831,,,0.2419,0.8783,,3.9247,0.26285,0.76856,0.1565,0.7395,,,0.1885,0.28,,0.422,0.2887,0.18188,0.28785,1.721,0.789,0.839,,0.3412,0.1945,,3.8179,,0.78954,0.39284,1.98119,0.6564,0.15936,0.51863,0.29273,0.93895,,0.44,0.3432,0.21995,0.79315,0.895,0.1172,2.7728,0.6586,0.1755,0.234,0.312,,,1.28392,0.14789,0.31262,0.7172,0.98678,0.32591,,,,1.8192,0.4931,,0.26975,0.36,,,0.1482,,0.39769,0.2417,0.6829,,0.86862,,,1.43599,7.28636,0.66969,,0.12439,0.6226,,1.94349,0.1437,0.186,,0.3165,0.1492
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis,,0.85477,0.8277,,0.15179,0.25514,,3.52519,,11.8915,0.79388,2.81714,,0.15945,0.3219,0.82,4.5919,0.685,1.28828,0.52616,0.22171,,6.6135,2.69228,0.32,,23.58243,7.3584,,,,0.9845,4.2438,0.24111,1.14898,,0.3549,0.1156,0.37482,0.2477,,,,,0.265,2.55193,3.59596,6.48977,2.49716,0.17629,0.1245,,1.86715,6.2751,,3.96567,3.79561,0.34395,0.19,0.15644,1.26437,4.18865,2.6486,,0.32265,,2.3934,,6.27475,0.2889,3.17426,3.58135,2.1376,2.9472,1.8284,,,0.36,0.8963,1.75753,0.56732,0.33478,,0.5571,,0.35446,0.198,,0.39345,0.16734,0.83758,0.1351,0.6758,0.7995,0.3823,2.27842,7.893,0.8672,0.15134,3.9728,,,3.38849,2.49823,,2.36545,0.283,,3.2938,2.51981,8.9644,,,,,1.71148,,0.346,2.26142,0.66686,0.1585,0.66,0.75993,18.64617,0.8167,1.577,0.287,0.12,0.93426,1.1595,1.163,0.7183,0.7652,,1.17546,,5.19867,2.13577,4.55853,0.41399,0.1683,0.49829,,1.15692,,0.4786,2.6111,0.1768,,2.4271,2.96735,0.1181,,,0.1324,0.131,,3.91747,,4.49557,,0.7972,,0.248,,0.18769,0.22264,0.137,0.14355,5.3756,1.12553,,0.14473,0.8548
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans,0.432,2.1542,0.92522,0.91587,2.39819,1.57359,0.1672,1.68133,,,0.4765,7.9434,,2.28532,,0.534,1.1234,2.43229,2.45122,1.54314,1.11347,1.71662,,3.76,0.21351,1.36982,,3.19359,0.7893,1.29867,0.174,0.889,6.13873,0.11325,0.31126,,0.94659,0.4722,0.61886,0.94334,0.77887,,,0.718,0.1786,9.63122,,2.81182,1.32779,0.269,0.8183,,0.6768,3.7948,2.38666,2.5111,,0.42131,0.22786,0.42883,0.66,11.1139,4.4561,,1.9529,,2.3772,0.147,1.86952,0.4781,0.456,3.3336,3.5195,19.591,7.97917,,,4.41537,0.285,0.44954,11.88998,2.66878,0.36965,,,1.13241,0.54687,,,0.96973,0.87896,2.5941,0.3731,0.5162,3.25773,5.78139,6.41184,8.35178,3.56498,3.8325,,2.4939,4.16428,1.2599,,4.32422,0.8633,,,2.66757,0.3284,,1.17684,0.671,1.71762,0.74616,0.1646,9.199,0.1114,0.2882,0.976,0.2614,0.917,1.91574,1.4357,0.14146,1.2222,2.5384,0.7357,2.68855,0.57927,0.72646,4.171,8.2871,,,0.33543,2.321,0.25584,0.81746,0.3499,2.26218,3.9823,2.1792,1.68462,3.14469,,1.2,6.73488,2.85948,0.12,1.98543,,,0.9223,0.99184,0.238,,5.61663,8.1864,,1.3783,3.9176,1.21717,,2.54387,,0.42582,2.44721,1.84917,5.2962,,2.18695,2.63474
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_unclassified,0.2924,,,,,,0.327,,,,,,0.439,,0.14812,0.1484,,,,,,,0.1146,,0.8839,0.229,,,0.24252,,,,,,,0.266,,0.833,,,,0.218,0.115,,,,0.1357,,,0.3636,0.5244,,,,,,,,,,,,,1.29542,,0.21789,,,,,,,,,,0.42,0.1579,,,,,,,0.2828,0.4152,,0.698,0.4592,,,,,,,0.31499,,0.67822,,,,0.345,,,,,,,2.54856,,,,0.371,,4.00E-01,,,,,,0.21445,,,,,,0.7284,,,,,,,,,,,,,0.4653,0.3628,,,,,,,,0.69455,,,0.33191,,0.1955,0.84767,,,0.61855,,,,0.734,,,0.5978,0.562,,0.17212,,,,,0.664,,
