disease,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,ibd,n,ibd,n,n,ibd,ibd,n,n,n,ibd,n,n,ibd,ibd,ibd,ibd,ibd,n,n,ibd,n,n,n,n
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_unclassified,0.69859,,,,,0.63561,,1.79923,0.33458,,0.2537,,,0.54787,,,,,,0.3936,0.24537,,1.3211,0.14917,0.9472,,,0.1152,,,2.14897,,0.1226,,0.7623,,0.16149,,,,,0.36959,0.1198,,,,1.2455,,1.23519,0.5269,,,,0.9321,,0.2471,,,1.93164,,,0.7911,,,,0.94718,,,,0.37514,,,,,,,,,0.42871,,,,,0.2227,,4.3322,,0.19,,,,0.59885,,,0.47327,5.98287,,,0.7743,0.313,,,,,,,,,0.13256,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_unclassified,0.53317,1.3921,0.21176,0.26781,1.5534,0.57637,0.296,1.5944,0.27747,0.28318,0.15572,0.68841,0.57951,0.35169,0.28947,0.2222,0.1149,0.46436,0.361,0.15311,0.3545,0.1732,0.15246,0.49958,1.5355,1.34422,0.21269,0.19986,0.15173,0.1381,0.67167,2.68261,0.24788,0.21424,0.2847,0.1625,0.29768,0.21345,0.9195,0.36879,0.75345,1.1961,0.22332,0.18194,0.25998,0.32886,0.82931,0.1917,0.38236,0.26541,0.19356,0.25516,0.81382,0.2257,0.14535,1.13724,0.116,0.4282,2.63848,0.66445,0.4577,0.19436,0.7463,0.3491,0.1593,0.24876,0.446,0.54825,0.17586,0.8365,0.61463,0.982,0.73292,0.28882,0.54426,0.72942,0.32688,6.6696,1.477,0.23174,0.94352,0.79334,1.64125,0.21372,0.43331,0.16242,0.15691,,0.2947,0.5852,1.1915,0.6349,0.14122,0.37523,0.41412,0.8984,1.2222,1.85716,0.28477,1.559,0.6888,0.5463,1.7252,0.59254,0.26657,0.12943,0.891,0.669,0.8784,0.2159
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Clostridium_bartlettii,,0.2691,,0.4779,,0.4652,0.5241,,,,0.175,,,,,0.267,0.378,0.13838,,0.2849,0.1591,0.3315,0.21759,,0.13,,0.9753,0.4592,0.163,0.899,,0.27343,,,0.197,0.1511,0.2741,,0.386,,0.227,0.1272,,0.262,0.528,0.14489,,,,0.2657,,,0.243,0.3169,,0.142,,0.7824,0.1636,0.97,0.268,,0.156,,,,,,,0.458,0.12,0.19172,0.8383,0.5286,,0.4447,0.298,,0.4948,0.1267,,0.118,0.2387,0.1289,0.725,,,,0.23434,,0.9326,0.6851,0.23,0.13132,0.295,,,0.1793,0.12333,0.2964,,0.5792,0.5,,,0.129,0.7271,,0.7838,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified,,,,0.2349,,0.4329,,,,,9.00E-01,,0.6222,,,0.39335,0.3244,,0.331,,0.1927,0.2931,,0.9948,,,,,0.512,0.25831,0.2434,0.2832,,,,0.62,0.1495,0.2244,,0.3337,0.2689,0.5937,,0.7462,0.4919,,0.1699,0.4248,,0.261,0.287,,0.141,0.3159,0.1426,0.4315,0.6791,0.17336,,0.338,0.3859,0.1281,0.1445,,0.122,,0.1255,,0.141,0.738,0.216,0.28832,,0.1185,,,0.442,0.259,,0.7637,0.3273,0.2687,0.756,0.22588,0.47,,0.349,,0.42257,0.27,,,0.42,0.2157,0.1421,,0.1751,0.2222,0.7271,0.3361,0.2966,,0.2174,0.1187,0.676,0.1524,,,0.3593,0.7256
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_unclassified,,,,0.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124,,,,,0.316,0.48,,0.12,,,0.222,,,,,,0.98,,,,,,,0.11,,0.98,,,,,,0.553,,,,,,,,,,,,,,0.467,,0.228,,,,,,,,,,,,,0.11,,,,0.12,,0.233,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis,,0.82,,,,,,0.7874,,,,,0.98,0.3479,,,,,,,,,,,,0.1111,,,,0.2161,,,,,,,,,,,0.163,0.97,,,,,0.36,,,,,0.154,0.636,,,,,,0.3352,,,,,,0.215,,,,0.187,,0.472,,0.227,,,,0.186,,0.1292,,0.5877,0.1266,0.15544,0.11842,,0.6888,0.1645,,,0.1922,,0.1142,,0.1488,0.4885,0.4569,0.916,0.17939,,0.4652,0.41,,0.1268,0.2575,0.4921,,0.2836,0.422,0.4376,0.16497
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_unclassified,0.7756,0.32499,0.11368,0.52265,0.2959,1.9162,0.18324,0.26972,0.11833,0.2845,0.2222,0.3318,0.5375,0.6437,0.59995,0.5465,0.16252,0.467,0.735,0.67375,0.52455,0.21851,0.31679,0.4884,1.29616,0.23251,0.33761,0.21194,0.7991,0.154,0.11664,,0.33833,,0.31974,0.26263,0.5567,0.55684,0.28988,0.15973,0.27292,0.9952,0.12164,0.34212,0.658,0.2462,0.14854,0.31576,0.1696,0.75379,0.4889,0.3961,0.286,0.2639,0.37861,0.33898,0.24276,0.14571,0.8853,0.73831,0.25374,0.13715,0.2722,0.3552,0.6463,0.412,0.22988,0.28578,0.3672,0.7954,0.2937,0.9722,0.41178,0.45229,0.21463,0.12191,0.198,0.7482,0.4185,0.54545,0.15754,0.33228,0.28552,0.22672,0.2974,0.52468,0.939,0.131,0.27117,0.59353,0.115,0.1274,0.25921,0.19865,0.75965,0.863,0.66877,0.36449,0.12145,0.49949,0.42845,0.12118,0.59542,0.5539,0.29684,0.155,0.5353,0.959,0.38643,0.17696
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii,2.49977,1.289,5.8145,4.2424,13.3581,5.3514,7.3714,3.7775,5.6998,3.79863,3.52943,3.8595,6.36327,1.79129,1.6741,5.51336,8.41851,6.8488,4.48966,5.75783,6.27546,4.29118,3.71555,9.36392,5.96247,5.26927,3.89131,5.25391,13.6972,12.53142,7.73582,1.1612,5.3552,7.488,7.1572,1.87747,5.33,8.519,6.881,7.53253,7.5656,3.593,7.16599,4.14779,16.6234,3.474,1.97193,5.14319,9.33916,14.69194,1.69851,9.24622,6.77393,6.81464,6.3339,6.79717,7.1898,6.53125,2.77933,6.38642,8.8476,1.94732,3.7185,1.5317,2.686,3.81259,3.58521,16.348,1.64952,7.22289,16.27426,38.3915,4.99778,7.7941,2.2415,15.27368,6.847,0.884,1.61325,11.9263,16.43377,11.97422,18.8616,4.124,7.8467,8.3562,0.71929,,17.5376,6.6365,4.34836,8.63626,4.1649,8.13678,11.49989,3.32351,6.44622,0.7717,18.5398,0.78,1.55959,22.8139,5.1556,11.29988,11.43513,23.58496,1.86594,1.2977,4.972,2.18147
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_noname|s__Ruminococcaceae_bacterium_D16,0.5376,0.263,0.613,0.73,0.4791,0.3377,0.852,0.9168,0.615,,0.495,0.442,0.68,0.1129,0.982,0.584,0.348,0.3856,0.66,0.4,0.726,0.58,0.78,0.3512,0.514,0.987,0.354,0.238,0.965,0.598,0.891,0.11691,0.885,,0.581,0.648,0.3519,0.528,0.54,0.253,0.2483,0.1764,0.1361,0.791,0.212,,0.5313,0.462,0.1966,0.489,0.93,0.514,0.1711,0.1395,0.337,0.4252,0.1674,0.22,0.4187,0.1779,0.1591,0.35,,0.3651,0.358,0.371,0.2831,0.738,0.223,0.3328,0.1424,0.72996,0.2374,0.183,,0.42,0.136,0.14717,0.1822,0.3845,0.149,0.1824,0.3268,0.9417,0.5989,0.24657,,,0.1461,0.72,0.791,0.1111,0.313,0.742,0.1523,0.213,0.2256,0.2377,0.777,0.38,0.298,0.55,0.3698,0.2814,0.1837,0.749,0.1415,0.51,0.33,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_albus,,,0.697,0.592,0.861,,0.312,,,,,,0.324,0.356,,0.5349,0.2579,,,,0.3222,0.1124,,0.2996,0.834,0.121,0.321,0.635,0.283,0.19161,,,0.164,0.122,0.361,,,,,0.86,,,0.4948,,0.1914,0.5113,0.784,0.2167,0.237,0.659,,,0.142,0.399,0.574,0.3597,0.3335,0.247,0.386,0.481,,0.317,,,0.1233,0.151,0.6864,,,0.1484,0.2485,,,0.1819,0.1561,,,,0.443,,0.598,0.194,0.15719,,0.155,0.941,,,0.123,0.4995,,,0.581,0.1614,0.5496,0.41,0.733,0.4182,0.414,,,0.1795,,,0.2788,0.327,0.428,,0.694,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii,,5.35446,2.4555,0.1626,2.2,6.9764,2.2583,3.9761,1.59725,0.68752,2.45546,2.72921,0.63754,0.95348,17.63683,3.54491,0.21356,2.4578,0.1242,3.69488,0.1131,0.1482,1.484,,3.22644,2.1248,1.94928,3.5654,0.2613,0.5525,0.2677,2.63424,3.84525,,1.4473,0.247,4.2253,5.6811,0.526,,0.5514,1.54387,0.4719,0.75225,0.183,,23.46169,0.64192,,0.2917,5.22954,,1.47634,0.7751,,0.1213,,4.79654,0.2196,1.36818,0.65976,0.443,3.7221,7.92639,0.3322,1.28118,1.6753,4.18579,0.5669,0.66358,2.79911,0.26,,3.95216,0.4613,,0.115,,1.83439,1.359,0.37,2.5118,0.6445,0.15367,1.1649,2.24324,3.33678,,1.18481,0.137,,0.8189,0.28885,6.24573,4.45566,0.6519,0.12187,9.95935,5.2419,2.23529,4.57242,1.61443,0.22684,,0.3415,0.715,0.181,,11.3896,0.56
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_callidus,,0.738,,0.1238,0.4542,0.5284,0.146,,,,,0.666,0.7171,0.516,0.1922,0.2983,0.5157,0.16438,0.162,0.2689,0.216,,,0.529,0.594,0.2296,0.2852,,0.8487,,0.49973,,0.33173,0.567,0.11,0.1431,0.2623,0.2646,0.19,,,0.21775,,0.3561,,0.469,,0.5283,0.45298,0.297,0.158,,,0.129,,,,,,0.447,,0.119,,0.837,,0.669,,0.4456,0.1724,,1.15412,,,0.2926,0.52283,,,,0.1974,0.5598,,0.26498,1.276,1.8786,0.3774,,,,0.122,,,,0.1621,0.4527,,,0.1246,,0.2256,,0.135,,,,0.968,0.1379,,,1.5872,0.242
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_champanellensis,,,,0.54398,,0.32,,,,0.478,,,,,,0.22189,,,,,,,,,,,,,,,,,2.5163,,,0.68,,,,,0.34392,,,,,,,,,,,,,3.46537,,,,,,0.31288,,0.5649,,,,,,,,,,,,,,,,,,,,,,,,,,,0.463,,,,,,,,0.49241,,0.1233,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_flavefaciens,,0.2159,0.911,0.565,0.281,0.28,0.241,,,,0.279,,,0.217,0.474,0.2175,0.1241,0.419,0.283,0.81,0.982,0.57,0.585,0.797,0.1277,0.71,0.553,0.632,0.446,0.828,,,0.321,0.457,0.1189,0.663,,0.458,0.1293,0.37,0.464,,0.1314,,0.1746,0.94,,0.933,0.577,0.2531,0.47,0.219,0.122,0.335,0.4638,0.575,0.142,0.26,0.754,0.299,,0.927,,,0.159,0.81,0.752,,,0.1347,0.87,0.297,0.1241,0.59,0.391,0.26,0.37,0.74,0.12,,,0.1875,0.492,0.5237,0.117,0.42,0.24,,0.739,0.157,,,0.1179,0.475,0.1257,0.1341,0.166,0.67,0.571,,0.378,0.5,0.764,,0.336,0.448,0.586,,0.772,0.237
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_lactaris,,0.6412,0.23,,0.3413,0.24737,,1.5177,0.12965,2.15347,1.59279,0.996,1.2294,0.91853,,,0.23771,0.91689,0.197,0.59525,0.62586,1.72971,0.3994,0.37894,0.79199,0.917,0.12634,0.15161,0.3966,1.2459,0.2712,,0.7343,1.16982,0.43386,0.61576,0.1872,,0.83497,0.12347,0.29777,0.14387,0.62983,0.5341,0.52273,0.57253,0.5957,0.6992,0.2612,1.1492,,0.64755,0.35653,0.59866,0.2443,0.561,0.12,0.77557,,0.91637,0.6221,1.3769,1.15297,,0.15,0.5743,0.2982,,0.19947,,0.11,0.175,0.11,0.3,,,,1.9437,0.961,,,0.4732,,0.46716,,0.44381,0.3,,0.43793,1.57264,,,,,0.47672,,1.2233,0.1892,1.44595,0.5668,0.7745,0.6,0.196,,0.2629,,2.86855,,2.827,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_5_1_39BFAA,0.8429,,0.99551,,,0.2947,0.18777,,1.7197,0.971,,,0.94384,,,,,0.644,,0.38859,0.23835,0.4644,0.2822,0.46546,0.76291,0.599,0.59323,0.8643,0.15759,0.79583,0.54452,,,0.35598,0.29694,,,0.56297,0.24483,0.22861,0.37791,0.29546,0.5981,1.24597,,,1.45944,,,0.38265,,,0.8312,0.36448,0.22159,,0.94335,0.37733,,0.189,1.15766,0.13328,,,1.13442,0.42263,0.15543,0.91159,0.26878,0.24286,4.8265,1.84714,0.77971,0.37283,0.62966,,,,0.9641,,0.5475,,0.91822,,,,4.84994,,0.6196,1.49859,,,,0.6567,1.637,1.89159,0.65384,,0.56482,,0.92473,0.68893,0.6772,0.75653,0.8616,,0.8831,1.2348,3.3974,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified,1.7929,16.43751,8.5275,22.56333,14.22586,17.94251,19.3981,8.5213,6.32147,11.77675,8.2868,14.16156,5.82181,9.37999,19.63915,13.2993,5.46449,12.8317,2.49832,6.78989,13.1881,1.31932,1.82334,5.5736,14.7977,6.76791,22.9912,18.8829,14.7292,3.14976,5.72767,6.62633,33.91296,5.47175,6.11857,1.31182,22.4475,22.5334,27.76331,5.98348,27.4315,3.13621,1.86642,9.9568,21.99492,9.79779,4.139,18.5894,5.4145,11.8721,2.1393,4.6897,11.85546,24.62374,1.84613,16.76473,5.2247,2.2311,6.7335,1.839,11.216,12.27821,2.6973,28.31587,2.67779,14.66,4.4763,7.65145,1.8665,2.47828,11.56363,3.13,9.3126,11.5679,4.3127,1.82722,0.38655,,11.59946,9.91675,23.91174,11.33,3.38958,11.3794,17.682,17.15291,7.19,0.4841,11.43965,9.88587,0.32393,0.33964,3.9351,11.23131,1.25519,5.81593,12.98126,6.64121,9.5918,1.16849,1.2468,1.32242,8.44387,2.33828,1.77323,1.22512,22.2453,1.5836,8.28485,19.24159
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_variabile,0.792,0.1282,0.1648,0.2883,0.494,0.965,0.1585,0.415,,0.2237,0.17,0.2189,0.2552,0.1375,0.1678,0.1324,0.82,0.2521,0.341,0.1377,0.153,0.1941,0.62,0.133,0.1482,0.1474,0.193,0.51,0.5151,0.2922,0.27,0.382,0.472,,0.926,0.918,0.43,0.462,0.1194,0.647,0.2313,0.2215,0.2226,0.21,0.911,0.468,0.574,0.1377,0.2218,0.1431,0.639,0.629,0.3631,0.776,0.127,0.6816,0.74,0.1217,0.75,0.972,0.674,0.1161,,,0.1128,0.175,0.1941,0.1573,0.152,0.155,0.2512,0.251,0.431,0.577,,0.1339,,,0.1959,0.1797,0.461,0.3344,0.5982,0.1511,0.1269,0.2451,0.983,,0.6118,,,,0.1816,0.81,0.1661,0.6399,0.4279,,0.389,,0.5461,0.1285,0.1644,0.173,0.434,0.31,0.522,,0.225,0.2678
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium|s__Catenibacterium_mitsuokai,,,0.25464,0.6622,0.3112,0.67963,,,,,,,,,1.65891,0.17284,,,,,,,,,,,,,,,0.52123,,,,,,,1.87744,,,,0.32929,,,,,,,,,,,,,,,,,,,,,0.35521,,,,1.19654,1.2124,,,,,2.41451,0.18823,,0.42414,0.52664,,,,,,,,0.81644,,0.14267,,,,,,0.12916,,,1.9316,,,,,0.63932,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus|s__Coprobacillus_sp_29_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14822,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus|s__Coprobacillus_sp_D6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35698,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Clostridium_innocuum,,,0.257,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.453,,,,0.149,,,,0.113,,,,,,,,,0.59,,,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212,,,,,,,,,,,,0.457
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_2_2_44A,0.143,0.5,,,,0.56,0.44,0.121,,,,0.9,,,,,,0.527,,,,,,,,,,,,,,,,,,,,,,,0.725,,,,,,0.93,,,,,0.158,,,,0.723,,,0.224,,,,,,,,,,,,0.78,,0.322,,0.495,,,0.447,,,0.6,,0.188,,,,0.815,0.4444,,,,0.883,,,0.457,,0.131,0.569,,0.7899,,0.1589,0.69,0.54,,,0.322,0.349,,0.282
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_6_1_45,,0.359,,0.47,,,,,,,0.85,,0.242,0.231,,,,0.724,,,0.17,0.76,,,,,0.11,0.18,,,,,,,,,,,,,,,0.294,0.17,,,0.1116,,,0.318,0.53,,0.516,,,0.2597,,,,0.35,,,,,,,,,,,0.378,,0.371,,0.821,,,0.43389,0.666,0.44,,,0.164,0.155,,,0.73,,,,,,,,0.625,0.2399,0.88,0.875,,0.777,0.75,0.534,,,,0.178,0.315,,0.32,0.42
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Eubacterium_biforme,,,0.3444,0.19788,0.97734,0.1776,0.5951,,,,,0.64564,,,1.837,0.5621,0.1922,,,,2.395,,0.7498,1.6211,,1.44217,,,,,0.25549,,0.74655,,0.57332,1.24456,,1.439,,0.55368,,,,1.96642,1.1446,,,0.96643,,1.1262,,,0.76962,0.2681,0.397,,,0.8454,,,,0.37353,0.74563,0.39721,,1.8163,0.11564,,0.27654,,,,5.39839,1.37639,0.1459,0.62387,,,0.98962,0.34291,,,,,0.2811,,,,,,,,0.1566,,,,,,,,2.15733,,1.3141,,,0.1693,,,,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Eubacterium_cylindroides,,,,,0.638,0.85,0.1253,,,,,0.1897,,,,,,,0.37,,0.2394,,,,,,,,,,,0.51129,,,0.1172,,0.5724,,,0.159,0.3816,0.817,,,0.1874,,,,,,,,,,,,,,,,,0.58,,,0.12116,,,,,,0.34847,0.51565,,,,0.133,,,,,,,,,,,,,,,,,0.433,,,,,,0.1421,,0.12,,,,0.28484,,,,0.2449,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_filiformis,0.7443,0.77,0.572,0.3131,0.2395,0.1528,0.7587,0.187,0.1371,0.3687,0.4786,0.5953,0.13922,0.17222,,,0.123,0.429,0.889,0.1429,0.543,0.3759,,0.424,0.3556,0.2816,0.6194,0.1356,0.94,0.1136,0.857,0.6323,0.248,0.1547,0.648,0.362,,0.221,0.229,0.5222,0.1594,0.4746,0.5738,0.195,0.15,0.492,0.7512,,0.297,0.2467,0.197,0.332,0.893,0.1919,0.244,,0.2625,0.86,0.14486,0.3747,0.5327,0.1287,,0.95,0.5179,0.113,0.3879,0.375,0.1761,0.1776,0.2768,0.4946,,0.2554,,0.1142,0.2976,,0.1988,0.821,0.229,0.169,0.3736,0.2939,,0.1367,,,0.3221,0.315,0.3494,0.6724,,0.138,,0.2857,0.187,0.6112,0.194,0.8492,0.167,0.4317,0.1789,0.89,0.7186,0.4634,0.915,,0.6988,0.2128
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Solobacterium|s__Solobacterium_moorei,,,,,,0.57,,,,,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5367,,,,,,,,,,,0.331,,,,,,,0.278,,,,,,0.531,0.196,0.217,,,,,,,,,,,0.3177,,,0.241,0.317,,,,,,,,,,,,0.4949,,,1.28234,,,,0.174,,0.377,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_sanguinis,,,,0.332,,0.17,,,,,,,,,,0.125,0.2787,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,0.2524,,,,,,0.1436,,,,,,,,0.198,,,,,,,,,,,,,,0.724,,0.37,,0.81,,,,,,,,0.894,,,,,0.111,,,,,,,,,0.15,0.3379,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_unclassified,,,,0.695,,0.29,,,,,,,,,,0.38,,,,,,,,,,,,,,0.48,,,,,,,,,,,0.46,,,0.292,,,,,,0.847,,,,,,,,0.47,,,,,,,,,,,,,0.28,0.627,,0.1583,,0.229,,,,,,,,0.1369,,,,,0.361,,,,,,,,,0.836,0.266,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcaceae_unclassified,0.724,,,,0.4623,0.2496,0.3978,0.3386,0.2941,,0.1423,0.3786,0.3148,,,0.298,0.247,,,0.2346,0.4182,0.359,0.6992,,,0.572,0.5542,0.1492,0.1588,,,,0.2298,,0.2132,,,,,0.3993,0.3364,0.55444,,,,,0.4917,,0.476,0.64,,0.277,0.469,0.3256,0.2947,,,,,0.14898,0.184,0.439,,,0.2887,0.658,,,,0.343,0.141,,,0.273,0.4317,,,0.37,,0.763,0.239,0.42238,0.1959,0.3546,0.8232,0.49,0.764,,0.2166,0.3563,,0.2946,,0.3144,0.845,0.6355,,1.2226,0.33,,,0.79,0.616,0.3458,0.32426,0.2565,0.557,0.9867,0.393,0.1222
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_fermentans,,,,,,,,,,,,,,0.9734,,,,,,,,,,,,,,,,,,,,,,,0.8585,0.329,,,,,,,,,,0.6478,,0.1634,,,,,,,0.44974,,,,,,,,,,,,,,,0.62669,,,,0.44868,,,,,,,,0.455,,,,,,,,,,,,,0.14321,,,0.8285,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_intestini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4714,0.28979,,,,,,,,,0.16338,0.144,,,,,,,,,0.54,,,,,,,,,,,,,,,0.3188,0.9779,,,,,,,,,,,,0.156,,0.2536,,,,,0.327,,,,,,,,,,,,,,,,0.47227,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_sp_D21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_unclassified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6445,,,,,0.32697,,,,,,,,,,,,,0.4561,,,,,,,,7.212,,,,,1.32826,,,,6.86919,,,,1.33176,12.64754,,,3.87811,,,,,,,0.11778,,,,,,8.59442,,,,,,,0.99798,,0.268,1.22714,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_succinatutens,,,5.74332,6.6241,,,,,,,,,,,0.41191,,,,3.41927,,,,,3.17189,,,,,,4.7619,6.1284,3.1645,,,,,,0.6885,1.9414,,,,3.386,3.61378,4.5152,,,0.11868,,,,,,,,,,5.74875,,,,,5.62883,0.284,,,1.47657,3.12978,4.45547,,,,7.278,,,6.47754,7.16967,,9.31987,,,,,0.61,0.2371,,,,,,,,4.59257,,,0.47,,,,,0.13341,,0.26,,,,,,,
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus,,4.54929,,,,,,,5.89414,5.83,,,,0.3198,,,,5.91345,,8.1633,11.7986,14.8752,,,8.83837,1.4217,2.43946,3.95625,4.877,,,,,17.27784,,4.4313,,,,,,9.95182,,,,6.61688,5.95415,,8.83816,,,4.53982,9.16397,,,,7.77311,,7.42923,,,8.297,,,,6.9846,,,,,,0.2723,,,6.3145,,,,,14.7723,9.83759,4.9634,2.8781,,,4.74588,,,,0.2372,4.891,,,0.2723,6.1362,,,,3.85627,0.1763,,0.468,,0.114,,14.1313,,9.86899,2.23227,
