disease,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis,cirrhosis
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified,,0.1893,0.15898,0.13161,,,0.68495,0.1672,,0.48173,,0.398,0.842,0.22649,0.5235,0.11312,,0.2913,,0.1685,,0.1323,0.12961,0.18876,0.951,0.419,0.3343,0.33811,0.6876,0.1488,0.196,0.16815,,0.546,,0.417,0.2352,0.2124,0.267,,,0.4184,0.5894,0.895,,,0.731,0.9246,,0.3135,0.3691,0.12263,,,0.7522,0.7354,,0.23385,0.1735,0.1142,0.17737,0.22161,0.7562,,0.1424,0.2233,0.13,,0.8653,,0.14,0.217,,0.524,0.11891,0.658,0.4953,0.881,0.7559,2.4397,0.29265,0.7854,,,0.5573,,,0.8198,0.12914,,,0.3937,0.792,1.5285,,0.5421,9.99634,,,,0.16999,0.39874,,0.34285,0.15682,0.21228,0.17448,,,,0.11692,,,0.6116,0.4145,0.447,,,0.5966,0.281,,,,0.1283,,,0.692,,,0.246,,,0.12475,,0.2454,0.5122,0.4555,,,0.2656,0.885,0.12625,,,,,0.2246,0.5887,0.474,0.7959,,0.1775,0.11889,,0.19264,0.156,,0.29319,,,0.2253,0.76,,,0.3719,0.1699,,0.4331,0.8191,,,,,0.5714,,,0.1659,0.144,0.1537,0.43235,,0.19,0.1729,0.1285,0.4443,,,,,0.192,0.65312,,,,,0.284,,,,,,,,0.6977,,,,0.7234,0.861,,0.3388,,,0.4356,,,,,0.294,,,,,,,0.6745,,0.1986,,,0.1889,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_unclassified,,,,,,,,,,,,0.36,,,,,,0.81,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,0.963,,,,,,,,,,,,,0.161,,,,,,,,,,,,,,,,,,0.254,,,,,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2444,,,,0.1414,,0.61,,,,,,,,,0.37,,,,,,,,,,0.776,,,,,,,0.144,,0.274,,,,,,,0.612,,,,0.1748,,,,,,,,0.744,,,,,0.117,0.149,,0.295,0.228,,,0.2158,0.356,0.76,0.137,,,,,,,,,0.237,,,,0.235,0.134,,,0.257,,0.138,,,,,,,,,,,,,,,0.2397,,,,0.3188,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis,,0.338,0.128,,,,0.973,,0.15,,,,,0.373,0.71,,,,,,,,,0.992,0.133,,,0.42,,0.13324,0.121,,,,,,,,,,0.112,,,,,,0.4374,,0.143,0.367,,,0.4646,,,,,,0.1663,,,,0.167,0.437,,0.1454,,0.541,0.1255,,0.193,0.45,,,,0.64,,,0.58,,,,,0.5765,,,,,,,,0.3753,,,,,,,,,0.253,,0.4989,,,,,,,,0.323,,,,0.183,0.178,,,,,,,,,,,0.6475,0.35,0.871,,,,,0.1263,,0.145,,0.43,0.565,0.8584,0.1389,,,0.391,,,0.717,,,,,,,,,,,0.615,,,,,,,,,,,,,,0.718,,,,,0.296,,,,,,,,,,0.2887,,,0.5668,,,,,,,,,,,,,,,,0.1736,0.737,,0.49,,,,0.558,,,,,,,,,,,,,,0.1931,,,,0.11,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_unclassified,,0.11,0.1193,,0.1246,0.293,0.27,,0.4963,0.3325,,0.1147,0.114,0.2691,,,,0.1824,0.1422,,0.1242,0.2777,0.769,0.1889,,0.11668,,0.33392,,0.27815,0.1653,,,,0.121,0.71,,,,,0.1352,,,,0.112,0.1731,0.712,0.15,0.1317,0.262,,,,0.1667,,0.365,,,0.4418,,,0.5458,0.278,0.177,,0.6286,0.991,0.1149,0.937,0.472,0.34,,,,,,,,,,,0.1972,0.236,,,,,,,,,0.1294,,,,,,0.5592,,0.4889,0.1144,,0.3811,,,,0.199,,0.8312,,0.3387,0.432,0.4716,0.156,0.3165,0.918,,0.199,,0.3641,,0.32,,0.2991,,0.763,0.84,0.474,0.1992,0.988,,0.2196,,0.57,0.1689,0.342,,,,,0.2493,,,0.365,,,,,,0.25,,,,0.6173,0.5183,,,0.1386,,0.2876,,,,,,,0.123,,,0.138,0.448,0.288,,,,,0.2619,,,,,,0.755,0.453,,0.1182,,,,,0.2421,,,0.372,0.691,,0.83,,,,,,,,0.1499,,0.7133,,0.21,,0.5446,,0.1944,,,,,,,,,,,0.1363,,,0.362,,,,0.1584,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii,3.9673,15.86494,1.39325,13.12178,8.64336,9.8831,26.4881,17.62532,12.3815,18.84195,0.3121,26.29512,0.6216,33.71528,16.31912,2.433,0.6632,2.13798,16.5179,22.24765,12.34187,2.8272,12.76117,2.46189,6.7579,6.85343,1.79168,21.57149,3.6773,4.81743,7.53294,7.23646,2.12972,24.487,4.28928,5.24218,4.8974,3.14434,2.5148,4.82741,7.89543,2.73353,19.39297,15.98111,8.995,1.1451,12.41254,8.27852,3.99968,5.17181,7.48941,15.62499,1.67259,8.1751,1.7521,6.6261,5.4129,6.947,12.59211,0.3275,9.5968,11.9287,1.1679,7.98751,6.1587,7.5433,2.138,8.68412,13.39889,15.17382,17.6323,7.2487,0.12972,7.8466,7.75516,8.89341,7.79242,5.29444,12.3195,8.68965,15.14757,7.84888,4.25263,8.72992,12.119,12.4367,4.12393,3.53268,4.68989,5.13575,3.76681,5.7149,13.47721,9.69751,14.3518,11.934,4.744,9.958,14.41398,6.39191,1.3298,18.67378,7.1625,13.63192,3.82538,5.2874,7.16846,5.82785,1.9259,0.7457,21.29464,14.8441,11.44384,3.67597,12.9376,7.9437,3.788,4.42273,14.11536,12.14673,2.26529,0.523,2.95383,12.7934,13.38726,16.3632,5.544,1.8263,4.23759,11.82429,4.95216,31.86436,1.24937,9.81738,15.8655,4.68237,1.264,1.75143,9.6682,2.6418,25.8839,22.8316,1.4635,16.97576,19.71463,7.136,4.88975,11.73441,5.943,5.5755,5.47776,12.714,5.91779,8.59425,15.48262,5.56388,0.82662,3.26829,5.1468,23.98792,9.6382,12.1764,0.4569,13.14434,9.83631,2.79873,11.3673,0.23,0.2713,1.958,2.5392,12.85832,1.3796,6.3644,21.38861,0.9484,6.5621,9.1567,0.1737,5.27449,8.6963,9.6694,18.1791,12.675,13.988,7.66745,6.4116,6.57598,6.5848,2.33397,29.33616,7.1727,1.1624,7.5118,4.59497,0.89348,18.3962,0.7648,1.533,16.97262,6.26984,0.11832,15.7567,4.7915,5.52518,1.69874,8.97248,5.53478,6.44692,0.29658,2.63379,4.26729,3.31162,0.12156,4.3279,0.95729,0.62187,0.645,1.23399,0.6813,7.6843,0.19314,1.439,9.6792,9.9996,31.94352,22.1866,1.71241,2.69821,0.2437,4.2117,4.1118
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_noname|s__Ruminococcaceae_bacterium_D16,0.393,,,,,0.176,,,,,0.338,,0.356,,,,,,,,0.2457,,,0.678,0.433,0.351,,0.536,,0.432,0.714,,,0.79,,,,,,0.12575,,,,,,,0.9,,0.39,0.4,,,,0.6613,0.162,0.8,0.114,0.34,0.38,,0.6634,0.357,,0.134,0.591,,,0.35,0.223,0.119,0.2718,0.187,,,,,,,0.232,,,0.192,0.199,0.473,0.789,0.72,,,,,,0.585,,,,,,,0.259,,,,,,,,,,,,,,,,0.53,0.13,,0.62,,0.862,0.4542,,,0.1173,,0.416,0.1817,,0.1979,0.3,0.261,,0.84,,,,,,0.127,4.4486,,,0.962,0.1121,,0.446,,,,,,0.294,,,0.367,,0.1396,0.2211,,,0.318,,,,,,,,,,,,,,,,,,,,0.4116,0.39,0.5738,,,,0.199,,,,,0.11692,0.221,,0.16,,,,,,,,,,0.527,,0.28,,,,,,0.584,,,,,,0.4439,,,,,0.371,0.11198,,,,,,,0.2864
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_albus,,0.4267,0.559,,,0.85,0.1131,,,,0.139,,,0.522,0.168,,,,,,0.623,0.67,,,,0.58,0.181,0.33,,,,,,,,,,,,,,,,,,0.668,0.15,,0.292,,0.45,,,,,,,,,,,0.67,0.91,,,0.678,,,,0.371,0.643,,,,0.17,,,,0.334,,,,,,,,0.64,,,,,,,,,,,0.282,,0.269,,,,,,0.7,,,,,,,,,,0.36,,0.9,0.124,,0.15,,,0.589,,,0.264,,,0.494,,0.17,,0.278,,,,0.284,0.797,,,,0.444,,,,0.181,,,,,,,,,,,,,0.311,0.666,,,,,,,,,,,0.212,,,,,0.12,,,,0.553,0.358,0.455,,,,0.121,,,,0.667,,,,,,,,,,,,,,,,0.34,,,,,,0.212,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii,0.231,1.85378,1.8679,3.8116,0.8931,0.138,0.89471,3.787,0.2575,,3.55769,1.717,,0.4867,,1.82163,0.13,1.6715,0.42569,0.174,1.16714,0.73368,0.73364,0.39,0.2272,0.59196,0.1774,0.3823,0.768,14.21231,1.85983,0.258,0.929,1.1454,2.4166,0.1536,0.95,1.76388,0.129,1.8376,2.84137,0.1999,0.274,0.14,0.269,3.67554,3.44469,1.53835,6.4565,2.3188,0.356,0.2463,0.223,6.4563,2.285,1.622,2.39334,0.11539,3.5418,0.165,5.44549,4.31297,0.79467,8.75777,2.81929,0.15799,0.73227,1.52318,1.68564,0.112,3.39,1.39988,0.861,0.4627,0.38,0.7195,0.735,0.3611,0.34851,0.4362,0.5379,1.92127,1.2278,0.158,,0.63,0.42651,1.42317,0.722,0.2549,,0.84977,0.2583,0.11759,0.11297,0.53749,0.1162,4.1922,0.5939,0.19469,2.58284,0.796,0.89398,0.5327,0.1573,0.5193,4.9155,,1.5796,4.94994,2.1431,2.429,0.5429,0.16,2.671,0.1695,0.1621,0.2562,0.57812,0.3266,0.1211,0.125,,6.1139,0.115,0.895,0.64991,0.571,0.1287,3.75924,0.12637,0.167,0.21927,3.9,5.16916,0.29,0.1497,0.66118,4.121,2.38111,0.745,0.736,0.81527,1.3944,0.414,,0.28169,3.11638,0.148,0.364,0.22,2.835,0.265,0.29,0.1315,0.162,,0.485,0.913,0.95473,2.3274,,0.451,0.6496,0.97857,,0.2159,0.21,,,1.96647,0.2689,0.467,,0.216,0.4491,1.98766,0.3314,0.195,0.6626,1.3322,1.88335,,0.2492,0.299,3.18263,0.6291,0.989,,2.53892,9.76728,0.7228,2.14536,0.594,0.2174,0.151,0.72,0.265,0.87,0.1616,0.193,0.4444,5.6664,3.32497,0.1546,0.239,0.7768,0.363,0.864,0.814,0.19878,0.1166,5.52382,0.1412,,,0.135,,0.3719,,,0.1785,1.24283,4.63625,0.1733,0.381,0.26,1.72562,,,0.2911,0.332
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_callidus,,0.19422,,,,0.2524,0.44661,,0.11583,,0.666,,,0.245,0.58586,,,0.91532,0.5595,,0.33134,,0.26273,,0.4567,0.5194,0.41673,0.4115,,0.46,,,,0.33,,0.16153,0.1661,,,,0.883,,,,,0.15247,0.49,0.5366,0.5354,0.146,0.326,,,0.237,0.815,0.3437,,0.4877,0.475,,0.37464,0.48612,0.535,,0.457,0.4635,,0.141,0.29929,,1.21914,,,,0.12318,0.1913,,,0.5463,,0.1716,0.4951,0.45,,0.9556,,0.2419,,,,0.32163,0.45871,,,0.1317,,,0.37467,0.1562,0.881,0.81445,,0.738,,,0.1873,0.58562,,0.2823,,0.18775,0.572,0.14266,,,0.578,,,,0.1767,0.1643,,,,0.166,,0.733,,,0.65771,,,,,,0.5797,,0.12661,0.945,0.67,,,0.3723,,,,0.4881,,,0.322,,0.9547,,,,,,0.3271,,0.8822,,,,0.312,0.145,,0.16891,,,,,0.38377,,,,,0.12583,,,,,0.2485,0.2919,,,,0.2928,0.3769,,,0.7599,,0.1287,,0.14126,,,,,,0.322,,,0.3146,,,0.16993,,,,0.3747,0.2932,0.157,,,,,,0.12845,,0.3997,,,,,,,0.1351,0.348,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_champanellensis,,,,,,,,,2.75877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_flavefaciens,,,,,,,,,,,,,,0.37,,,,,,,0.11,,,,,,0.59,,,,,,,,,,,,,,,,,,,0.7,0.96,,0.49,,,0.1947,,,,0.2449,,,,,,,0.273,,,0.26,,,,,,,,,,,,,,,,0.683,,,,,,,,,,,,,,,,0.512,,,,,,,,,,,,,,,,,,0.44,,,0.124,,,,,0.96,,,,,,,,,,,,,,,0.43,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,0.15,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_lactaris,,0.19318,,,,0.23431,0.23,0.66648,,0.73,0.6132,0.27,,,,,,,,0.45,,0.5711,0.8893,0.261,0.73993,1.66224,0.13782,0.4596,0.45647,0.265,0.35847,0.136,0.14,0.3683,0.375,0.279,0.691,0.257,,0.35,0.3548,0.756,2.74838,0.652,,0.41,0.1788,0.14483,1.99543,2.6591,,1.83853,,0.96,0.6391,1.6658,0.427,0.2586,0.1175,0.1274,0.464,0.21137,1.35998,0.98794,0.27586,0.4424,0.33335,0.33622,0.4547,0.2264,2.11497,0.313,,0.25,0.132,0.151,0.44,0.79,1.21975,,0.76,0.26641,,0.8436,,0.48,,0.67328,,,,0.1856,,4.31453,0.59828,0.15843,0.161,,,0.93665,0.23425,,0.6439,1.4282,,0.195,0.4723,,0.1499,,,0.7547,0.62528,0.59677,0.916,0.4316,0.595,0.8243,0.1272,,0.46964,,,0.35319,0.37263,,,,0.848,0.1161,,,,0.236,0.48,,,0.59887,0.6577,0.52,,0.86,0.41,0.3119,0.532,,0.23786,0.153,0.3843,0.32853,,0.89,0.93972,,0.23799,0.9158,0.52,0.1,0.885,,3.25347,,,0.5569,0.718,,0.754,,,,,0.1156,,0.69346,0.238,0.962,0.71443,0.99,,0.23,1.52622,1.69836,,,,,0.72,0.263,0.298,0.14,1.6717,0.12,0.2,0.13,0.76,,0.842,0.315,,,0.124,0.493,0.366,0.819,,0.155,0.438,0.76,0.96499,0.672,,,0.2394,,,,,,0.6,,0.3686,0.114,,0.297,0.5599,0.51439,2.75322,,,,0.1635,0.1837
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_5_1_39BFAA,,0.43767,0.33426,,,,0.35956,0.79275,,0.49441,0.59461,,0.29852,0.3321,0.27319,,,0.52262,,,0.16447,,,0.9858,0.35847,0.23968,,0.3623,0.52411,0.72323,0.994,0.3141,,0.9588,,,,,,,,0.1918,,,0.34283,0.57871,,0.13587,0.28969,0.47154,0.7773,1.28518,1.4675,0.51533,0.35685,0.2692,0.49982,0.47228,0.1943,,1.6759,0.8766,0.4469,,1.1128,0.22756,,0.86139,0.6393,,1.1342,,,0.5328,0.29538,0.62552,0.37196,,0.8174,,1.33667,0.1346,0.35654,,,1.53555,,,,,,,,,0.5864,0.5274,,,,,,,3.8491,0.92819,,0.36111,0.47129,,,,,,,0.63135,,0.22561,,,0.2995,0.41628,,,,0.35666,,,0.15822,,,0.2716,0.65912,,,0.6964,,0.2167,,,1.88382,0.267,,,0.39843,,0.53569,,0.55625,0.49643,,,,0.41559,0.33321,,,,,,,,1.6188,,,,0.264,,,,,,0.653,,,,1.82953,,0.2338,,,0.39314,1.8765,0.14566,0.58496,0.12842,,0.876,0.11235,0.32843,,,0.48434,,,,,,2.2468,,,,,,0.4677,0.37244,,,0.46645,0.49131,,,,,0.47361,,,,,,,,,,,0.63231,,,,0.6152,,,,0.69827
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified,0.6954,5.7138,2.1145,0.3572,0.49295,0.74927,0.723,3.43764,8.47423,1.99559,0.71661,0.581,0.585,0.66967,0.4217,0.94578,0.339,0.7944,0.88556,1.18874,1.353,1.794,0.316,2.11962,0.4675,2.95993,1.21878,2.94931,13.1699,2.3391,0.93646,0.91411,0.31926,4.4546,0.7741,1.727,0.4646,0.23518,0.7478,0.34693,1.78456,0.2212,0.21231,0.62586,0.5187,0.92145,1.81587,0.6368,0.95248,0.32655,1.6222,3.612,3.15946,2.57237,6.68362,0.69315,0.56183,0.65635,6.9189,0.1227,0.16123,1.23972,3.35627,0.7583,3.44441,0.27678,0.5846,1.69367,2.73342,1.74415,0.82754,0.413,,0.12668,1.5728,0.211,0.17196,2.27644,3.7539,0.12361,0.97564,3.1274,0.13877,2.5551,0.7827,0.7426,4.83741,0.13642,0.9694,0.89713,0.3492,0.6458,0.5262,0.8678,0.66866,0.2246,0.2165,8.813,1.7869,1.8889,8.728,0.1414,3.2394,0.6367,0.797,1.25457,0.14624,0.28449,2.95721,0.4794,2.8964,4.62948,3.96,0.22777,0.99434,0.3761,0.5643,0.5961,0.28543,0.77432,2.42128,0.134,0.22111,0.69518,0.1443,0.46317,0.51467,0.7142,0.28865,0.4338,0.5157,0.6488,0.452,0.56392,0.65,0.59937,,0.41627,1.2585,4.27871,0.261,0.4399,0.8443,0.1714,0.35956,0.3232,0.21699,0.27663,0.13621,0.6186,0.24299,0.18433,0.1519,0.21832,1.22514,0.139,0.2351,2.2342,0.23,0.1647,0.41955,,0.568,5.7579,0.57,0.519,0.8894,0.15448,0.5338,0.1587,0.8716,1.31976,,0.4434,0.37977,0.869,0.2823,0.8717,0.829,0.2334,0.328,1.17573,0.1943,0.26841,0.544,0.3916,0.6521,0.1629,0.4621,2.2168,0.7371,0.7479,0.87467,0.28555,2.96725,0.4227,0.3158,,,0.724,0.23768,0.15343,0.6863,0.5249,0.14263,0.222,0.26583,0.2175,0.88,0.5252,1.26158,0.26398,1.3443,0.541,0.3443,,0.13117,0.6111,0.1751,0.4766,0.47829,0.5145,3.53911,4.3472,0.11627,0.89775,1.21176,0.23671,0.7331,,0.7335,0.5745
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_variabile,,0.43,,,,,,0.459,,,,,,0.71,,,,,,0.359,,,,,0.65,0.197,,0.278,,0.144,,,,,,,,,,,,,,,,,,,,0.256,,,,0.238,0.196,,,,,,,,,,,0.71,,,,,,,,,,,,,,,0.8,0.3,,,,,,,,,,,,,,,,,,,0.1541,,,,,,,,,,,,,,,0.91,,,,,0.38,,,,,,0.26,,,,,,,,,,,,0.118,0.325,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163,0.61,0.123,,,,,,,,,,0.126,0.39,,,,,,,,0.254,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium|s__Catenibacterium_mitsuokai,,,,,,,,,0.8485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14373,,,,,,,0.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62631,,0.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166,,,,,,,,,,,,,,0.454,,,,,,,0.6947,,,,,,,,,,,,,,0.45275,,,,,,,,,,,,,,,,,,,,,,,0.3783,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus|s__Coprobacillus_sp_29_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54931,,,,,,,,,,,,,,,,0.16926,,,,0.7878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13359,1.24919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus|s__Coprobacillus_sp_D6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Clostridium_innocuum,,,,,,,,,,,,,0.172,,,,,,,,,,,0.465,,,,,,,,0.388,,,,,,,,,,0.455,,,,,,,,,,,,,,,,,,,0.8,,,,,0.183,,,0.148,,0.811,,0.17,0.414,0.113,,0.178,,,,,0.282,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,0.418,,,,,,,,,,,0.56,0.1931,,,0.15,0.316,,,,,,,0.8282,0.11,0.598,,,0.119,,0.129,,,,0.35,,,,,,0.918,,0.264,,,,,,,,,,,,,,,,,,,0.549,,,,,0.91,,,,,,,,0.334,,0.28,,,0.16,,,0.18474,0.41,,,0.3647,,,,0.858,,,,,,,,,0.663,,0.119,,0.669,,,,,0.91,,,,,,,0.55,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_2_2_44A,,,,,,,,,,0.38,,,,,,,,,,,0.134,,,,,0.94,,,,0.22,,,0.1159,,,,,,,,,,,,,,,,,,,,0.667,0.52,,,,,,,0.318,,,,,0.33,,,0.287,,0.386,,,0.431,,0.86,,,,,,0.491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,0.165,,,,,,0.251,,,0.34,,,0.84,0.1395,,,,0.5,0.751,,0.113,0.14,,0.2381,,0.3355,,,,0.369,0.24,0.75,,0.88,,,0.21,0.664,,0.223,,,,,,,,,,0.174,0.2958,0.2752,0.57,,,,,0.166,0.51,,0.196,,0.324,,0.82,,0.59,,0.184,,0.583,0.133,,0.612,,,0.336,,,0.5428,0.675,0.828,0.18,0.2455,0.258,,0.85,,,,0.125,,,,,,0.63,0.53,,,0.257,,,0.83,0.14,0.95,,,0.659,,,0.214,0.2964,
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_6_1_45,,,,,0.718,,,,,0.216,0.51,,,,,,,,,,,,,0.37,,,,0.157,,,,,0.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,0.616,,,,,0.221,0.47,,,,,0.289,,,0.152,,,,,,,,,,,,,,,,,,,,,,0.1141,0.617,,,,,0.259,,,,,,,,0.883,,,,,,,,,,,0.929,0.27451,,,,,,,,0.143,0.366,,,0.1353,,,0.78,0.4544,,,,0.566,,,,,,,,,0.33,0.25,,0.18,,,,,,,,0.123,0.36171,0.4897,0.12,,,,,0.248,0.3651,,,,,0.2254,,,,,,,0.136,0.1972,0.385,0.25,,0.15,,,0.2795,0.58,,0.161,,0.345,,,,0.2795,,,,1.4249,,,,,0.2425,,,0.3548,,,,,,,,,,,0.1792,,0.2,
