ID,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99,s100,s101,s102,s103,s104,s105,s106,s107,s108,s109,s110,s111,s112,s113,s114,s115,s116,s117,s118,s119,s120,s121,s122,s123,s124,s125,s126,s127,s128,s129,s130,s131,s132,s133,s134,s135,s136,s137,s138,s139,s140,s141,s142,s143,s144,s145,s146,s147,s148,s149,s150,s151,s152,s153,s154,s155,s156,s157,s158,s159,s160,s161,s162,s163,s164,s165,s166,s167,s168,s169,s170,s171,s172,s173,s174
OTU124,0.77,0.2536,0.756,0.8721,0.4767,0.137,0.17115,0.6227,0.676,0.4371,0.694,0.731,0.2452,,,,0.213,0.6159,,,0.2565,0.362,1.734,0.159,,,0.1259,,,,,0.942,0.3729,,0.182,2.67132,,0.3698,0.3771,0.521,0.6925,0.8177,0.16311,,0.3465,0.642,0.45416,0.21544,0.2667,0.3427,0.12987,1.134,0.2467,0.8468,0.774,,,,,,,0.2461,0.771,2.26694,0.5113,0.4146,,0.521,,0.1821,0.17,0.13643,0.46,0.4536,,0.2698,,0.151,0.15768,0.2393,0.4333,0.644,0.6552,,0.1617,,0.932,0.11927,0.14766,0.559,,0.4128,0.16,0.4256,0.6616,0.262,0.174,,,,0.2717,,,0.1393,,,0.1843,,0.127,0.112,,0.2117,0.79,,0.5135,0.2943,0.5572,,0.18375,0.2114,0.24449,0.4345,,0.1893,,,0.288,0.1474,0.2258,,0.84,0.1826,0.685,0.7517,,0.61484,0.4484,0.591,,0.137,,0.768,0.12974,,2.18148,,0.4574,0.89421,0.983,,,0.3612,0.49438,0.1651,,0.2439,0.49935,,0.16723,0.351,0.37761,0.2499,,0.133,0.2537,0.416,0.2944,0.621,0.1696,0.386,0.4874,,0.173,0.12591
OTU125,,0.357,,,,,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3321,,0.3736,,,,,,,,,,0.92,,,,,,,,,,,,,,,0.2794,,,,,,,,,,,,,,,,,0.293,,,,,,,,,,,,,0.1756,,,,,,,,,,,,,,,,,,,,,,0.67,,,0.2132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.129,,,,,,,,,,,,,0.24,,,,,,,,,,
OTU126,,,,,,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,0.2218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU127,0.727,3.42129,2.4795,0.1456,0.24859,0.56,,,,0.281,,,0.92,0.3726,22.54425,0.182,0.21651,0.811,,3.94555,3.19325,0.883,,0.41562,0.147,5.66747,0.17,0.432,,0.49297,6.16772,,,0.2185,0.548,0.16454,0.39428,2.3265,0.22218,2.26352,6.5171,,,0.3687,,1.49165,1.316,0.328,2.677,8.91281,1.77339,,4.62956,8.718,1.3395,2.51595,,0.3348,0.1588,4.18163,3.959,0.46,4.3186,,1.3591,0.43,0.64342,,1.6216,1.24868,,1.3412,0.9835,1.18771,1.5992,0.71,,4.6264,1.3682,2.7314,4.915,1.16877,8.32128,0.1782,,0.7533,0.3382,,4.37861,2.12898,1.3872,0.5233,,3.6524,8.7913,4.7672,0.5359,2.87251,0.13127,0.51495,,3.64123,2.4739,0.275,,0.16592,0.1316,,15.3539,0.6563,7.773,,0.64966,0.5635,3.38317,4.77314,9.97552,5.12474,2.65813,2.52619,0.54826,2.59661,0.4676,0.79,2.92762,3.16881,7.68982,,1.3168,0.5222,,0.8781,0.9671,0.1617,0.28,0.4645,0.8383,0.154,1.54218,2.76868,4.994,2.15821,0.93637,1.24789,,5.38834,,9.7899,0.6284,0.483,1.16588,0.27913,0.42794,,1.32511,2.5412,3.33817,8.48594,0.67,,0.547,1.4289,,4.7798,,0.427,,3.71576,3.18423,0.6597,,0.743,1.77845,0.19
OTU128,0.32,0.476,0.2859,0.13363,0.34912,0.8223,,,0.271,,0.936,,,0.17,0.1635,0.5255,0.54563,0.1772,0.658,0.2591,0.27526,0.11826,0.19744,0.935,0.449,0.13649,0.8355,1.886,0.5342,0.2971,0.748,0.1665,0.5494,0.8977,0.46712,,0.1692,0.34741,0.784,0.24999,0.3749,,,0.1674,0.144,0.2127,,,0.26481,0.15734,0.753,,0.2467,0.15966,0.31631,0.9213,,0.1958,0.472,0.4191,0.39789,,0.12276,1.856,0.12597,,0.214,0.313,0.2332,0.176,0.3285,0.12985,0.12346,0.11758,0.743,,,0.178,0.7765,0.18435,0.755,0.24339,0.29,0.745,0.7741,0.1993,0.7827,0.11425,0.31267,0.483,0.17535,0.42291,0.7593,0.37856,0.2917,0.4583,0.11286,0.32381,0.3425,0.23852,,0.2138,0.3531,0.5685,0.2621,0.44224,0.4478,,0.47964,0.17546,0.2224,0.643,1.66764,,0.86897,0.9992,0.553,1.23225,0.4929,0.1153,0.3422,0.94464,0.1428,1.54363,1.1495,1.175,0.215,0.22575,0.1357,0.1581,0.61589,0.5686,0.763,0.1247,,1.8875,0.1177,0.4614,0.3648,0.36982,0.9766,0.14529,,0.36361,,0.1855,0.148,0.44479,0.2177,0.4776,0.1585,0.3583,,0.46256,0.24953,0.13467,,0.4794,0.25582,0.5692,,0.6182,0.12331,0.7349,,0.129,,0.55247,0.31125,0.438,0.2458,0.492,0.98157,1.1675
OTU129,0.735,0.733,0.29,,0.7198,,0.282,0.276,,,0.641,,,0.236,0.291,,0.985,0.212,,0.374,0.22931,0.413,,0.4316,0.376,0.4332,0.226,0.3152,0.7165,0.1897,0.942,0.3443,,0.286,0.5936,,0.2967,,0.56,0.3455,,,,0.2682,,,,,0.1916,0.2198,,,,0.3363,0.9278,0.4372,,0.422,0.365,0.443,0.11799,,0.1675,,0.1852,0.4113,0.1159,0.1373,0.1859,0.6446,,0.344,0.352,,0.6639,,0.11746,0.3541,,0.534,0.3958,0.7889,,0.655,0.12169,0.6312,,,0.2157,0.1239,0.1571,,0.3328,0.9322,0.416,0.496,0.539,0.152,,0.2149,,0.12999,0.126,0.372,,0.5218,0.1244,,0.222,0.363,0.846,,0.523,0.4225,0.666,0.9151,0.6786,0.11876,0.38897,0.39,,0.39764,0.3957,,0.2487,0.4239,,0.119,0.2364,0.174,0.1411,0.229,0.2625,0.4952,0.118,0.6318,,,0.396,0.3214,0.2491,0.55,,0.1385,,0.148,,,0.4714,0.125,,,,,0.17,0.3122,,0.2759,,,0.1592,,0.161,0.5697,,0.1187,,0.8273,0.5256,0.3796,0.647,,,
OTU130,9.72,,0.1392,,4.1495,0.28,,0.77,,36.76626,1.6498,,0.154,0.56781,0.118,0.88,,,,0.16,3.85785,0.488,0.235,14.7386,1.97126,0.7987,7.66668,12.7582,1.1138,7.2778,5.2351,0.164,0.2634,0.5857,4.8947,0.3264,0.1393,,,2.21678,4.12653,,,8.21686,,1.1318,0.168,,,0.85256,0.21,,,,,13.72695,0.28,4.75139,0.9549,6.86537,9.11613,0.317,8.4556,,3.34357,16.46167,0.18552,0.9426,17.14152,0.19343,0.388,0.37447,11.965,0.5358,1.263,,6.9473,6.33796,4.93786,6.21369,0.6592,6.18141,0.323,5.3425,,4.445,32.7776,7.922,1.66434,1.55919,12.22362,,3.48295,1.2122,,0.96872,5.55376,1.5354,1.93774,0.9722,,1.55787,0.4957,,,6.9187,1.9852,,5.57579,4.7749,13.45798,,0.3978,,7.461,3.621,0.91,2.82764,15.79578,,3.1262,,14.32257,0.2648,5.67839,9.6961,0.52775,0.72,6.24652,0.4574,1.7928,0.8223,,0.5,,,19.65799,,3.51613,8.3925,6.38946,1.6575,0.192,2.8235,0.165,0.7225,,,37.243,0.8755,0.1758,0.5663,,,0.8382,1.39859,0.198,1.9815,,0.127,1.9943,,0.679,0.12151,,0.41272,,,,5.54338,,7.6753,0.178,0.3418
OTU131,2.8463,,0.676,,1.63276,,,,,,,,,,,,,,,,0.2949,,0.5,2.19325,,,,,1.9986,0.45133,,,1.94578,,,,0.133,,,,,,,,,,,,0.7943,0.2967,8.93857,,3.12522,,,0.58873,,,,1.5591,,,,,0.13,,,,,,,,,,,,,,,0.12281,,,,,,,,,,,,0.4768,,2.59628,,0.11182,,,,0.312,,5.13483,,,,0.41269,,0.431,,,0.8,,,,,,0.443,,,0.541,,,0.478,,,0.219,0.295,,,,,,,,,,,,,3.1687,6.5294,0.28999,0.51,5.3119,,,,,,,,,,,,0.69731,,6.2254,,,,,,2.4312,,,,0.1497,0.3469,,,,,
OTU132,0.651,0.16659,0.6327,0.722,0.1945,0.612,,,,,0.17176,1.337,,0.16792,,,0.26736,,,0.3468,0.37717,0.385,0.19,0.23138,0.888,0.219,0.25138,,0.9575,0.64924,0.13857,0.1963,0.323,0.4222,0.3489,0.277,0.3132,0.34234,0.4218,0.5751,0.11385,,,0.8685,,0.424,,,0.68612,0.5586,0.396,,0.48241,0.58184,1.14135,0.4473,,0.34,0.34,0.22574,0.59214,,0.626,0.2698,,,,0.2989,,3.46193,0.11168,,0.17477,,0.21564,,0.39427,1.5864,0.26368,0.9182,,0.6491,,,3.77952,0.325,0.56361,0.647,,0.14644,0.41318,0.97377,0.38334,0.113,0.16582,0.3524,0.18611,0.2636,0.8439,0.11196,,,0.542,0.4442,,0.58595,0.5761,,,0.1145,0.16382,,5.8244,,,0.7732,,1.2984,,,,0.27459,0.15931,0.33834,0.7424,0.13,0.47332,0.17936,,4.59793,0.82121,0.2687,0.22769,0.16684,,,0.491,0.445,0.12596,0.285,0.4278,0.12496,,,,11.23492,,,,0.561,0.193,,,,0.4299,0.19296,2.23459,0.49,0.47281,3.256,0.28411,,0.419,0.18858,,0.99162,0.549,0.94547,2.7415,1.3611,0.7488,,0.17392,0.33
OTU133,0.332,0.476,0.72,0.348,0.177,0.1377,,0.113,0.1531,0.1296,0.4483,,,0.364,0.8719,0.6525,0.3722,0.855,,0.474,0.2157,,0.1238,0.317,,0.24,0.11128,1.6194,0.1216,,,0.788,0.37,0.722,0.12298,0.369,0.64,,,0.74,0.2248,,,0.319,,0.727,,0.344,0.2811,0.1254,,,,0.5356,0.2138,0.558,,,,0.165,0.1724,0.351,0.3897,0.2719,,0.11819,0.177,,0.11,,0.388,0.674,0.928,0.514,,,0.2183,0.42,,0.2483,,0.196,0.57,0.23287,,0.1837,0.3937,,0.13865,,0.53,0.743,0.168,0.2523,0.28,0.1285,0.38418,0.15538,0.5811,0.2452,,,0.1779,,,0.25245,0.31,0.146,0.336,0.2115,0.528,,0.39,0.21538,0.26432,0.1687,,0.21961,0.8344,,,0.9888,0.9457,0.7789,0.167,0.21,,0.13394,0.7498,,0.1193,0.361,0.191,,0.1451,0.24739,0.928,0.4453,0.417,0.2191,0.345,0.395,0.156,0.2321,,0.1782,,,,0.64,,,,0.1147,,0.467,0.2237,,,,0.198,0.433,0.371,0.535,,0.4942,0.479,0.738,0.125,0.728,0.239,0.338,0.23349,0.19997
OTU134,,,,,,,,,,,,,,,,,,0.22,,,0.29182,,,,,,,,,,,,0.321,,,,,,,0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19562,,,,,0.6672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17444,,0.83,,,
OTU135,0.1885,0.188,,0.3276,0.2998,0.4756,2.66353,0.2957,1.6338,0.8466,,13.416,0.41313,0.53446,0.582,1.32328,0.63319,0.51348,0.98917,,0.3645,0.2456,0.2273,,,2.9675,3.981,0.33381,,,,0.2663,0.575,,0.8224,1.69512,0.587,0.198,0.237,0.14857,0.22915,2.94612,0.7781,,0.24759,1.41182,0.5451,4.63355,0.3439,0.13,0.747,0.21321,0.398,,0.7654,0.1926,3.17132,0.21,0.7111,,0.75885,4.44122,0.113,0.6338,,14.33676,,0.166,,0.23355,1.9135,0.14957,,0.49671,0.4584,0.5862,,,,0.4178,0.1189,0.51366,0.173,0.4954,0.2658,,0.43634,0.29281,0.25949,0.221,0.9958,1.87825,0.27972,0.228,0.1229,0.5934,2.65457,0.9267,12.65896,,0.52582,0.745,,0.13289,0.47118,,0.17425,4.4174,0.811,,,0.66321,0.563,5.61141,1.6121,0.9334,0.614,0.966,1.6958,0.4712,0.1394,0.2374,0.4124,4.7988,0.55486,0.152,0.1758,0.2191,1.4683,,0.1471,,0.7115,0.19526,1.52839,5.711,,2.273,0.75,0.88,,0.99,0.45453,0.9157,0.5937,,0.39795,0.1398,0.15779,,0.71,,4.9472,1.7749,,0.511,0.1766,,0.23169,0.31737,0.48527,0.6643,0.1372,0.412,3.8564,0.461,0.46311,,0.477,0.1971,0.51169,0.75353,3.97312,1.285
OTU136,0.5357,0.66798,0.6757,0.8642,0.4762,0.3182,0.35,0.941,0.151,0.8647,0.26675,0.3461,0.27,0.12175,0.72463,0.5211,3.137,0.959,0.2193,0.1874,0.5974,0.9643,0.5491,0.29443,0.361,0.2412,0.54763,0.2158,0.2614,0.12938,0.4446,0.91752,0.45517,0.18878,0.3461,0.179,0.64248,0.32485,0.15955,0.38113,0.16635,0.13316,0.299,0.996,0.139,0.6376,0.1249,0.1238,0.97779,0.12482,0.19741,0.341,0.245,0.16649,0.1997,0.7953,0.24,0.9424,0.985,0.17139,0.12738,0.26592,0.3715,0.3678,0.5918,1.33249,0.7378,0.6465,0.2369,1.13715,0.1284,0.15926,0.3374,0.45932,0.46669,0.158,0.18466,0.25793,0.4273,0.273,0.1756,0.43126,0.1225,0.7971,0.1698,0.19867,0.23184,0.327,0.7751,0.858,0.1512,0.365,0.11251,0.25778,0.12161,0.21384,0.6395,0.67994,0.2217,0.75182,0.241,0.16277,0.28799,0.7126,0.1785,0.67464,0.6242,0.25344,0.6219,0.274,0.24214,0.739,0.6846,0.91189,0.4134,0.39296,0.39723,0.55614,0.53829,0.21356,0.11488,1.22321,0.6394,0.72452,2.47438,4.1848,0.1849,0.2344,0.36952,0.9564,0.573,0.59212,0.787,0.34643,0.949,0.3877,0.17988,0.2312,0.9449,0.29135,0.31872,0.27391,0.11925,0.3394,0.1315,0.48637,0.374,0.1745,0.53664,0.11396,0.53215,0.9592,0.4262,0.8372,0.3366,0.3262,0.37838,0.2146,0.2635,0.15365,0.744,0.74195,0.12327,0.28781,0.2442,0.7596,0.4621,0.89397,0.35845,0.23142,0.22299,0.4389,0.1722,0.23619
OTU137,1.64423,0.5867,0.2688,0.82227,2.32975,4.746,3.27551,0.12844,0.16177,2.22328,0.21658,1.6693,0.8967,0.2611,1.14376,1.3649,1.86751,0.864,0.3412,0.74761,1.98393,0.4837,6.7468,0.6369,0.1474,2.48152,0.54435,1.55454,0.27152,0.27724,0.2923,0.68424,0.7428,0.5695,2.54619,0.7747,0.1855,1.4735,1.56431,1.47412,0.2187,5.22137,0.9817,0.4452,0.496,0.25171,0.528,1.3954,2.35122,0.67741,1.3649,1.17532,0.38854,1.292,0.43394,0.5546,0.34686,0.17649,1.91496,0.98745,2.33985,0.98732,0.51914,2.65134,0.8711,1.5253,0.5726,0.41876,0.91279,1.83551,1.16489,0.63444,0.2834,0.6587,0.44274,0.149,0.1942,0.9115,0.37175,0.2439,1.41289,1.27153,1.13239,0.74661,4.17652,2.8152,1.76317,0.99425,1.39924,0.3455,0.8832,0.415,2.1473,1.93784,0.682,0.53987,1.29442,6.25894,6.69741,0.99475,0.8879,0.33234,0.63143,0.564,0.14871,2.6638,3.89722,0.7141,0.8125,0.97182,0.58187,0.13797,3.35848,0.93755,2.1961,0.9585,3.22362,1.33366,3.437,2.69463,1.89747,1.38947,1.1663,0.86545,0.889,6.9267,0.43523,0.4964,1.4433,0.28644,0.234,1.32533,0.8885,1.526,0.16647,1.52294,0.59628,0.81824,0.39786,1.15545,0.93697,1.44596,1.14145,0.499,0.47837,0.6681,4.6245,0.32685,2.68821,0.1698,5.34369,0.1484,0.8216,0.5954,0.51423,1.576,0.4159,0.33122,0.3762,2.7654,0.59934,0.7633,0.16728,3.75321,0.954,0.6319,0.39454,1.86769,1.56458,1.49845,1.45899,1.2597,0.65572,0.52388
OTU138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU139,,,,,0.2521,,,,,,,,,,,,,,,,,,,,,,,0.592,,,,0.579,,,,,,,0.636,,0.688,,,,,,,,,,,,,,,,,,,,,,0.699,,,0.3491,,,,,,,,,,,,,,,,0.688,,,,,,,,,,,,,,,,,,,,,0.159,,,0.2543,,,0.169,,,,0.4751,0.483,,,,,,0.1482,,,,0.1143,,0.832,,,,,0.156,,,,,,,,0.2894,0.2327,0.497,0.1348,,,,0.59,,,,,,,0.3785,0.595,0.1521,0.2437,,0.1512,,,,,,0.811,0.389,,,0.4122,0.2561,0.22,0.228,,,
OTU140,0.19424,0.5795,0.4794,,0.13212,,,,,0.4283,0.1267,0.691,,0.681,0.3367,,0.27217,0.33,,0.4297,,0.835,,0.5165,0.81,0.8331,,0.4455,0.4361,0.248,0.4662,0.129,0.1669,0.2597,0.22955,,0.5779,,,0.2455,0.1621,,,0.394,,,,,0.1296,0.6839,,,,0.6765,,0.363,,0.1215,0.2885,0.1439,0.4693,,0.5872,,,0.23547,0.2844,0.58,0.119,0.28266,,0.653,0.9269,0.17715,0.9168,,,0.3994,,0.3134,0.495,0.23578,,0.3712,,0.315,0.25966,,,0.185,0.8838,,0.993,0.15917,0.6147,0.57,,0.5432,,0.22178,,0.19759,0.988,,,0.22518,0.4676,,,0.61,0.32387,0.1919,0.516,0.329,,0.169,0.5326,,,,0.4768,,0.646,0.2538,0.136,0.16531,0.213,0.1843,,0.952,0.78,0.213,0.295,0.6685,,,,,0.2478,0.164,0.89,0.3155,0.3718,0.36,,0.122,,,,0.1346,0.2562,0.319,,,0.551,0.415,,0.7346,,,,0.548,0.726,0.1937,,0.1563,0.2359,0.1258,0.9665,0.2488,,,,
OTU141,0.35211,0.371,0.16727,,0.27493,,0.662,,0.37154,,0.3976,,,0.124,0.6341,,,0.26651,,0.14495,0.24124,0.57586,0.59858,0.62944,0.8372,0.37278,1.4416,,0.15962,0.3238,0.3837,0.36317,0.2596,0.6679,0.2398,,2.47932,0.22191,0.1781,0.73573,0.299,,0.4887,0.26992,,0.4599,,,0.12569,0.11564,0.32668,,0.47431,0.2783,0.3979,0.6872,,0.11114,0.17516,,0.87689,,0.41417,0.1882,0.44919,,0.3196,0.1743,1.243,0.2618,1.3421,0.59734,0.21228,,0.5138,,0.78331,0.21697,0.1445,0.14171,0.9384,0.47319,0.496,0.11531,,,1.7343,,0.1265,0.1647,0.29973,,0.5825,1.39923,0.4266,0.45942,0.8839,0.2647,,0.77117,,0.12256,0.1464,,,0.449,0.19463,,0.211,0.47331,0.8872,0.2995,0.23,,,0.32695,1.63778,0.86457,2.9813,,,0.83964,0.43468,1.16955,1.695,0.9436,0.5413,,1.29638,0.6993,0.6387,0.2939,,0.3955,,,0.1369,,0.3365,0.17734,0.61381,0.2891,,0.111,,0.24564,,,0.14787,0.5614,0.12513,0.243,,,0.1615,0.36224,,0.2191,,,0.5827,0.41718,,0.4353,,0.7229,0.16411,0.42642,0.19271,0.62489,0.38864,,1.543,
OTU142,,,0.39676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,2.813,,,,,,,,,,,,,,,,,,,,,,,0.12692,,,,,,,,,,0.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTU143,,,,,,,,,,,2.22855,,,3.22159,,,,,,0.16575,,,,,,,,,,,0.48973,,,,,,,,,,,,,,,,,,5.27923,6.46852,3.49558,,,,,,,2.85834,,,,,,,,,8.9199,,,,,,,,,,,,,,0.34852,,,,,,,,,,,,,,,,,,,1.11851,,,,,,2.9257,,,,,,,3.5631,,,,,0.58995,,,,,,,,0.32786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7865,,,,,,,3.14961,,,,,
OTU144,0.5132,0.21771,0.6114,0.2855,0.569,0.78448,,,0.86844,0.2898,0.4638,0.23313,0.653,0.1491,0.49653,,0.78214,0.15589,0.34324,0.11261,0.18949,0.1834,,0.5396,0.348,0.86261,0.28984,0.22794,0.6555,0.525,0.3992,,0.1185,0.17311,0.8765,0.4196,0.3562,,0.291,0.24286,0.453,,0.7522,0.925,,0.23925,,2.2218,0.29833,0.1778,0.4153,0.58862,0.1626,0.19337,0.8665,0.6311,,0.6148,0.1121,0.48731,0.15292,,0.46141,0.37372,0.11539,2.7179,0.4939,0.1248,0.643,0.22741,0.4761,0.9421,0.26685,,0.24892,0.143,,0.22863,0.13598,0.2124,0.12532,0.1833,0.5876,0.7731,,0.14244,1.13955,,0.9926,0.11968,0.326,0.6462,0.8452,0.61327,0.13732,0.6891,0.21391,1.2924,0.73317,0.79378,,0.268,0.9172,0.152,0.14352,0.62661,0.19547,,,0.1444,0.1427,0.2964,0.15879,0.7823,0.422,0.19332,,0.1377,0.7717,0.1418,,,0.25385,0.4596,0.56422,1.52726,0.294,0.1292,0.11313,0.3996,0.2928,0.858,0.4361,1.357,,,0.1476,0.17495,0.3139,0.17248,0.11278,0.6377,0.899,0.7616,,0.1627,0.2318,0.1614,0.1525,0.427,,0.7468,0.1884,0.1497,0.13933,0.9112,,0.589,0.7821,0.21356,,0.5251,0.23388,0.32782,,0.1581,,0.663,0.26528,0.32691,0.335,,,0.1774
OTU145,0.19246,0.9745,0.391,0.2966,0.43372,0.11149,,,0.18219,0.16521,0.24761,,0.23982,0.8139,0.4152,0.18898,0.45372,0.14611,,0.554,0.74877,0.11471,0.7334,0.11769,0.911,0.4827,1.58544,0.27199,0.1543,0.3628,0.348,,0.5399,0.4679,0.26315,,0.85858,0.4849,0.3361,0.1657,0.15445,,0.6988,0.4787,,0.7971,,,0.2965,0.5692,0.12,,0.4676,0.5425,0.1829,0.211,,0.1413,0.2554,0.5966,0.6821,3.56136,0.13823,0.1286,0.5455,1.9239,0.6154,0.4244,0.232,0.4222,0.3675,0.1212,0.24664,0.1226,0.597,,0.839,0.568,0.481,0.17849,0.1991,0.24633,0.4171,0.961,,0.5664,0.24488,0.7237,0.1988,0.3183,0.6627,0.2845,0.274,0.15132,,0.5356,0.13755,1.7841,0.59167,0.61396,,0.2369,0.167,0.1231,,0.19872,0.1714,0.7266,0.22359,0.9953,0.3723,0.2161,0.1679,0.44719,0.985,0.8861,0.25796,0.25334,0.594,0.7633,0.13393,0.242,1.68,,0.25862,2.1967,0.615,0.7617,0.35754,0.6454,0.22172,0.28139,0.4267,0.2779,,0.51468,0.15777,0.23928,0.4682,0.3587,0.7979,0.6641,0.1197,0.6928,0.922,0.21549,0.3636,0.6774,0.28934,0.8483,0.573,0.3881,0.22753,,0.25138,0.6199,0.1648,0.76291,0.527,,,0.2479,,0.13452,,0.2175,0.95,0.42941,0.77895,0.15627,0.25936,0.597,0.55691,0.38334
OTU146,0.236,,,,,,0.2477,,,,0.27,,,,,0.19274,,,,,,,0.8644,,,,,,,0.7577,,0.213,,,,,,0.1651,,,,,,,0.144,,,,,,0.6532,,,,,,,0.2146,,,,,,,0.763,,,,,,,,,,,,,,,,,,0.5712,,0.93362,,,0.6355,,,,,,,,,,,,,0.184,,0.922,0.1385,,,,0.11696,,0.16176,,,,0.27995,,,0.8962,,,,,0.696,,,,,0.9638,0.694,,0.19856,,,0.265,,0.1312,0.25363,,0.1172,0.62,,,,,,,0.13479,0.463,0.2514,,,0.721,0.4998,3.746,,,,0.12793,,,,,,0.2893,,0.4224,,0.734,0.2912,,,,0.856,,0.2415
OTU147,2.55867,0.7541,0.55355,,1.13364,0.695,0.5928,,,0.21755,,3.46847,0.1415,0.29132,,0.9184,1.6599,0.1231,,0.3171,0.8473,0.42172,0.17585,6.3447,0.59,0.88896,0.62835,0.1731,0.3267,0.4192,0.28894,0.2831,0.38593,0.84,0.26796,,,1.36217,0.86519,0.83343,0.74187,0.6637,0.271,0.3397,0.582,0.68,,,0.8215,1.256,0.5214,,0.5456,0.4994,0.368,0.46987,,0.668,0.6112,0.73274,1.45123,0.864,5.2221,,0.9696,0.3291,0.4365,0.3867,,0.12525,,0.21522,0.36884,0.3786,0.2531,,,0.7842,0.7356,0.15688,0.3316,0.3743,,,,0.777,0.45793,0.71979,0.663,0.23328,1.46581,1.49799,1.5696,2.5958,4.9514,0.3941,0.6247,0.471,0.6539,0.224,,0.25,,,,0.8695,0.6754,,0.27812,0.52446,0.4165,,0.85446,0.2924,1.17333,5.93764,0.38121,0.831,,0.53322,,0.14729,,0.6532,1.2546,1.73136,1.39951,,,,0.696,0.94955,0.926,0.4973,,0.91553,1.5173,3.77798,1.22467,1.2145,4.67227,3.43352,0.4841,0.66364,0.114,2.53832,,0.4858,8.7865,0.654,0.31722,0.1439,0.57381,,0.5832,0.55245,0.24,0.1254,,,,4.25662,0.1312,3.594,,0.866,0.8675,2.49155,5.85,0.3257,0.27351,,0.76577,0.3384
OTU148,,,,0.1351,,0.2145,0.626,0.45978,0.8327,,,,0.372,,0.1492,0.2488,0.448,,0.4819,0.11,0.1929,,0.11373,,,,0.873,,,,,,,0.38,,0.279,,0.166,,0.169,,0.25358,,,0.992,0.178,,0.44449,0.1735,,0.167,0.34914,0.1318,,,,,,,,,,,0.2526,,0.516,,,,,,0.37,,,,,,0.15,0.217,0.1339,,0.3149,,,,0.1963,0.3485,,0.1244,,,,0.1273,,,,,,0.7178,,,,,,,,0.9949,,,,,,,0.3721,0.399,,0.33918,,0.11299,0.131,0.1275,0.257,,,,0.484,,,0.226,,,,,,0.281,,,,,,,,0.1847,,,,0.465,0.277,0.622,,,,0.17993,0.32815,,,,,0.4541,,,,,,,,,,0.15893,0.31,0.1751,0.4268,0.138,
OTU149,,0.43,,,0.19,0.747,0.58444,0.1471,0.47652,0.31182,,,0.3268,0.13533,,2.63629,0.1313,0.18155,,,0.2472,,0.1127,,,0.76243,0.565,0.1431,,,,0.258,0.556,,0.836,0.733,,,,0.674,0.4398,1.71435,0.1655,,,,,,0.262,0.3949,,,,0.23435,,0.1618,0.92559,,,0.1972,,1.4522,,0.5224,,4.4462,,,,,0.45123,0.296,,,,0.68,,,,0.271,,0.2487,0.154,,,,0.29231,,0.7942,,,0.3652,0.11945,0.113,,0.1255,0.2528,,,,0.163,,,0.3249,0.972,,0.64281,,0.983,0.47,,0.421,,0.3528,0.59384,0.69,0.96441,0.298,0.68,,,0.384,0.621,0.3865,0.9948,0.186,0.2525,0.7876,,,0.387,,,,0.421,0.3419,,0.2141,,,,0.3657,0.1,0.622,0.596,,,,0.3824,0.3149,,,0.1771,0.52736,,0.116,,,0.3538,0.5568,0.675,0.335,0.77,,0.4536,,0.7231,,,,,,2.77258,0.31172
